Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Poss_T1,Poss_T2,Svs_T1,Svs_T2,Crcl_svs_T1,Crcl_svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,Fst_brk_T1,Fst_brk_T2,Crs_T1,Crs_T2,Lng_blls_T1,Lng_blls_T2,Atk_mddl_T1,Atk_mddl_T2,Atk_rght_T1,Atk_rght_T2,Atk_lft_T1,Atk_lft_T2,bet365_home_win,bet365_draw,bet365_away_win
2014-15,2,EMPOLI,ROMA,13/09/2014,CARLO CASTELLANI - EMPOLI,18:00,ANDREA GERVASONI,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,0,0,1,0,0,0,Maurizio Sarri,Rudi Garcia,42%,58%,2,5,0,0,0 (0),0 (0),13,4,5,4,1,0,8,0,0,0,0,0,6,9,0,1,0,3,1,1,1,3,8,0,0,1,0,0,0,0,0,1,1,10,4,4,10,4,3,5,4,0,5.5,3.75,1.62
2014-15,2,JUVENTUS,UDINESE,13/09/2014,ALLIANZ STADIUM - TORINO,20:45,ANTONIO DAMATO,2,0,H,1,0,H,1,0,H,1,0,0,0,1,0,0,0,0,0,0,0,Massimiliano Allegri,Andrea Stramaccioni,56%,44%,1,5,0,0,0 (0),0 (0),12,5,7,1,1,0,5,4,0,0,0,0,13,14,0,0,8,1,3,0,1,1,4,6,0,1,0,0,0,0,1,5,14,8,8,11,10,7,3,2,3,1,1.4,4.5,8
2014-15,2,SAMPDORIA,TORINO,14/09/2014,LUIGI FERRARIS - GENOVA,12:30,PAOLO SILVIO MAZZOLENI,2,0,H,1,0,H,1,0,H,0,0,1,0,0,1,0,0,0,0,0,0,Sinisa Mihajlovic,Gian Piero Ventura,46%,54%,0,2,0,0,0 (0),0 (0),7,5,5,0,1,0,2,5,0,0,0,0,16,16,1,0,1,0,0,0,3,0,3,5,3,4,0,0,0,0,1,1,6,8,4,10,3,2,3,1,2,1,2.4,3.1,3.1
2014-15,2,CAGLIARI,ATALANTA,14/09/2014,SANT'ELIA - CAGLIARI,15:00,ANGELO CERVELLERA,1,2,A,0,1,A,1,1,D,0,0,0,0,0,1,1,0,0,0,1,0,Zdenek Zeman,Stefano Colantuono,61%,39%,2,5,1,4,1 (1),0 (0),13,7,6,4,1,0,7,3,0,0,0,0,12,17,0,0,7,3,4,3,2,1,7,7,4,4,0,0,0,0,3,5,19,6,14,9,10,5,5,3,11,2,2.25,3.4,3.1
2014-15,2,FIORENTINA,GENOA,14/09/2014,ARTEMIO FRANCHI - FIRENZE,15:00,DANIELE ORSATO,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Vincenzo Montella,Gian Piero Gasperini,60%,40%,1,8,0,1,0 (0),0 (0),18,5,8,1,3,0,10,4,0,0,0,0,8,19,0,0,2,0,2,1,2,1,12,3,1,3,0,0,0,1,0,1,7,6,10,3,6,2,7,3,5,2,1.57,3.8,6
2014-15,2,INTER,SASSUOLO,14/09/2014,GIUSEPPE MEAZZA - MILANO,15:00,GIANPAOLO CALVARESE,7,0,H,4,0,H,3,0,H,1,2,1,1,2,0,0,0,0,0,0,0,Walter Mazzarri,Eusebio Di Francesco,61%,39%,3,3,0,0,0 (0),0 (0),15,9,10,3,0,0,5,6,1,0,0,0,16,12,0,0,8,1,3,1,4,2,6,1,0,1,0,0,0,1,2,1,7,2,16,6,8,3,4,4,6,3,1.44,4.33,7
2014-15,2,LAZIO,CESENA,14/09/2014,OLIMPICO - ROMA,15:00,MASSIMILIANO IRRATI,3,0,H,1,0,H,2,0,H,0,1,0,1,0,1,0,0,0,0,0,0,Stefano Pioli,Pierpaolo Bisoli,60%,40%,1,3,0,1,0 (0),0 (0),14,3,6,1,1,0,8,2,1,1,0,0,24,8,0,0,5,0,6,0,3,1,7,1,3,1,0,0,0,0,6,3,15,2,7,11,7,0,8,3,12,2,1.33,5,9
2014-15,2,NAPOLI,CHIEVOVERONA,14/09/2014,SAN PAOLO - NAPOLI,15:00,PIERO GIACOMELLI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Rafael Benitez,Eugenio Corini,65%,35%,0,10,0,3,1 (0),0 (0),21,5,10,2,1,0,11,3,1,0,0,0,10,9,0,1,5,4,6,5,4,4,14,2,2,2,0,0,0,0,2,2,8,1,12,1,6,2,2,4,5,1,1.36,4.75,8
2014-15,2,PARMA,MILAN,14/09/2014,ENNIO TARDINI - PARMA,20:45,DAVIDE MASSA,4,5,A,1,3,A,3,2,H,0,1,0,1,1,1,0,1,2,0,1,1,Roberto Donadoni,Filippo Inzaghi,47%,53%,2,0,0,0,0 (0),1 (1),3,9,3,8,0,1,0,1,0,0,0,0,22,12,0,1,4,7,3,3,1,6,5,4,3,1,1,1,0,0,1,6,6,5,7,4,3,3,2,5,3,3,2.7,3.2,2.6
2014-15,2,HELLAS VERONA,PALERMO,15/09/2014,MARCANTONIO BENTEGODI - VERONA,20:45,GIANLUCA ROCCHI,2,1,H,1,1,D,1,0,H,0,0,1,0,0,1,0,1,0,0,0,0,Andrea Mandorlini,Giuseppe Iachini,50%,50%,3,4,0,2,1 (1),0 (0),10,17,5,7,1,0,5,10,0,1,0,0,11,11,0,0,7,4,2,2,3,2,10,4,4,2,0,0,0,0,3,3,16,8,13,13,4,5,5,1,2,2,2.2,3.3,3.3
2014-15,3,CESENA,EMPOLI,20/09/2014,OROGEL STADIUM - CESENA,18:00,CLAUDIO GAVILLUCCI,2,2,D,2,0,H,0,2,A,0,1,1,0,0,0,0,0,0,1,1,0,Pierpaolo Bisoli,Maurizio Sarri,44%,56%,4,3,2,2,0 (0),1 (1),8,11,6,6,1,1,2,5,1,1,0,0,18,9,1,0,5,4,1,2,1,0,3,7,4,1,0,0,0,0,4,3,17,12,22,8,2,8,4,10,11,8,2.8,3,2.7
2014-15,3,MILAN,JUVENTUS,20/09/2014,GIUSEPPE MEAZZA - MILANO,20:45,NICOLA RIZZOLI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Filippo Inzaghi,Massimiliano Allegri,43%,57%,4,3,1,1,0 (0),0 (0),4,11,3,6,0,0,1,5,0,1,0,0,9,18,0,1,1,3,1,2,0,0,3,4,2,3,0,0,0,0,4,6,7,5,4,9,5,11,2,4,2,3,3.2,3.3,2.25
2014-15,3,CHIEVOVERONA,PARMA,21/09/2014,MARCANTONIO BENTEGODI - VERONA,12:30,ANTONIO DAMATO,2,3,A,1,0,H,1,3,A,1,0,0,0,0,1,0,0,0,0,2,1,Eugenio Corini,Roberto Donadoni,43%,57%,2,1,1,0,0 (0),0 (0),6,9,3,5,0,0,3,4,0,0,0,0,15,20,0,0,3,4,1,1,3,0,4,5,1,4,0,0,0,0,5,3,10,14,6,6,5,9,1,6,6,4,2.9,3.1,2.5
2014-15,3,GENOA,LAZIO,21/09/2014,LUIGI FERRARIS - GENOVA,15:00,MARCO GUIDA,1,0,H,0,0,D,1,0,H,0,0,0,0,0,1,0,0,0,0,0,0,Gian Piero Gasperini,Stefano Pioli,41%,59%,6,4,3,1,0 (0),0 (0),9,14,5,7,0,0,4,7,0,1,0,0,6,17,0,1,3,7,1,2,0,0,3,7,2,1,0,1,0,0,3,2,6,10,4,12,7,5,1,8,5,5,3,3,2.5
2014-15,3,ROMA,CAGLIARI,21/09/2014,OLIMPICO - ROMA,15:00,SEBASTIANO PERUZZO,2,0,H,2,0,H,0,0,D,2,0,0,0,0,0,0,0,0,0,0,0,Rudi Garcia,Zdenek Zeman,58%,42%,2,1,0,0,0 (0),0 (0),6,5,3,2,0,0,3,3,0,0,0,0,15,10,0,0,3,0,2,1,4,3,0,6,1,1,0,0,0,0,0,0,8,4,3,1,1,2,4,2,1,0,1.3,5,11
2014-15,3,SASSUOLO,SAMPDORIA,21/09/2014,MAPEI STADIUM - REGGIO EMILIA,15:00,MARCO DI BELLO,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Eusebio Di Francesco,Sinisa Mihajlovic,49%,51%,3,6,0,0,0 (0),0 (0),13,9,6,3,0,0,7,6,1,1,0,0,16,19,0,0,1,1,2,1,0,0,3,7,3,2,0,0,0,0,2,0,8,6,11,13,7,6,5,2,2,0,2.63,3.2,2.7
2014-15,3,ATALANTA,FIORENTINA,21/09/2014,GEWISS STADIUM - BERGAMO,18:00,CARMINE RUSSO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Stefano Colantuono,Vincenzo Montella,44%,56%,5,6,1,2,0 (0),0 (0),17,12,8,6,1,0,9,6,0,2,0,0,10,22,2,0,0,0,2,1,4,1,4,7,1,4,0,0,0,0,3,4,9,10,11,7,5,9,15,8,9,14,3.25,3.1,2.3
2014-15,3,UDINESE,NAPOLI,21/09/2014,DACIA ARENA - STADIO FRIULI - UDINE,18:00,PAOLO TAGLIAVENTO,1,0,H,0,0,D,1,0,H,0,0,0,0,1,0,0,0,0,0,0,0,Andrea Stramaccioni,Rafael Benitez,46%,54%,3,2,2,0,0 (0),0 (0),7,6,3,4,0,0,4,2,0,0,0,0,12,12,0,1,2,5,1,1,1,2,0,9,1,3,0,0,0,0,5,2,5,15,21,17,2,1,2,3,1,2,3.3,3.25,2.2
2014-15,3,PALERMO,INTER,21/09/2014,RENZO BARBERA - PALERMO,20:45,PAOLO VALERI,1,1,D,1,1,D,0,0,D,1,0,0,0,0,0,0,0,1,0,0,0,Giuseppe Iachini,Walter Mazzarri,39%,61%,2,1,2,1,0 (0),0 (0),10,9,3,3,0,0,7,6,0,0,0,0,15,8,1,0,7,5,4,0,1,2,5,2,2,4,0,0,0,0,5,3,9,6,12,26,10,17,12,9,12,7,3.75,3.4,2
2014-15,3,TORINO,HELLAS VERONA,21/09/2014,OLIMPICO - TORINO,20:45,LUCA BANTI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Gian Piero Ventura,Andrea Mandorlini,49%,51%,1,5,0,2,1 (0),0 (0),17,8,5,3,1,0,12,5,0,0,0,0,15,7,0,1,9,3,0,1,5,0,11,1,3,2,0,0,0,0,2,2,23,9,14,8,14,5,5,3,5,1,1.91,3.5,4
2014-15,4,EMPOLI,MILAN,23/09/2014,CARLO CASTELLANI - EMPOLI,20:45,GIANPAOLO CALVARESE,2,2,D,2,1,H,0,1,A,1,1,0,0,0,0,0,0,1,1,0,0,Maurizio Sarri,Filippo Inzaghi,40%,60%,4,5,0,0,0 (0),0 (0),10,14,7,7,0,0,3,7,0,0,0,0,10,18,0,1,4,2,4,3,2,5,3,5,2,3,0,0,1,0,1,0,3,11,2,12,6,7,3,4,4,5,4.5,3.3,1.85
2014-15,4,CAGLIARI,TORINO,24/09/2014,SANT'ELIA - CAGLIARI,20:45,MASSIMILIANO IRRATI,1,2,A,1,2,A,0,0,D,1,0,0,0,0,0,0,2,0,0,0,0,Zdenek Zeman,Gian Piero Ventura,48%,52%,3,4,2,4,0 (0),0 (0),7,11,5,6,0,0,2,5,0,0,0,0,14,11,0,1,4,5,0,2,1,4,3,6,2,2,0,0,0,0,0,5,16,8,7,12,7,6,2,5,6,4,2.55,3.3,2.7
2014-15,4,FIORENTINA,SASSUOLO,24/09/2014,ARTEMIO FRANCHI - FIRENZE,20:45,ANGELO CERVELLERA,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Vincenzo Montella,Eusebio Di Francesco,68%,32%,0,2,0,0,0 (0),0 (0),16,4,4,0,0,0,12,4,2,1,0,0,13,11,2,0,2,0,2,0,3,0,10,3,2,2,0,0,0,0,0,0,19,1,12,9,6,2,5,0,6,1,1.44,4.33,7
2014-15,4,HELLAS VERONA,GENOA,24/09/2014,MARCANTONIO BENTEGODI - VERONA,20:45,DINO TOMMASI,2,2,D,0,1,A,2,1,H,0,0,0,1,1,0,0,0,1,1,0,0,Andrea Mandorlini,Gian Piero Gasperini,52%,48%,7,7,4,2,0 (0),0 (0),14,15,9,9,0,0,5,6,0,0,0,0,14,14,0,0,9,10,5,3,5,3,7,4,2,2,0,0,0,0,3,3,13,10,13,18,1,4,3,3,2,7,2.05,3.4,3.5
2014-15,4,INTER,ATALANTA,24/09/2014,GIUSEPPE MEAZZA - MILANO,20:45,ANDREA GERVASONI,2,0,H,1,0,H,1,0,H,0,0,1,0,0,1,0,0,0,0,0,0,Walter Mazzarri,Stefano Colantuono,49%,51%,2,4,0,2,1 (0),0 (0),17,10,8,2,2,0,9,8,1,0,0,0,13,14,2,0,6,0,3,0,0,2,6,10,1,3,0,0,0,0,5,1,5,11,3,4,10,6,4,3,2,3,1.44,4.33,7
2014-15,4,JUVENTUS,CESENA,24/09/2014,ALLIANZ STADIUM - TORINO,20:45,PIERO GIACOMELLI,3,0,H,1,0,H,2,0,H,0,0,1,0,1,1,0,0,0,0,0,0,Massimiliano Allegri,Pierpaolo Bisoli,71%,29%,1,9,0,0,1 (1),0 (0),22,1,13,1,2,0,9,0,1,0,0,0,10,14,1,0,9,0,2,0,3,0,6,2,0,3,0,0,0,0,0,1,14,4,6,12,15,1,6,1,3,1,1.13,8,19
2014-15,4,NAPOLI,PALERMO,24/09/2014,SAN PAOLO - NAPOLI,20:45,DANIELE DOVERI,3,3,D,3,2,H,0,1,A,2,0,1,0,0,0,0,2,0,0,1,0,Rafael Benitez,Giuseppe Iachini,57%,43%,3,5,0,2,0 (0),0 (0),10,9,8,7,0,1,2,2,0,0,0,0,11,8,0,1,7,2,7,4,10,2,6,4,1,4,0,0,0,0,2,1,8,4,14,10,5,4,3,2,3,8,1.44,4.33,7
2014-15,4,PARMA,ROMA,24/09/2014,ENNIO TARDINI - PARMA,20:45,PAOLO SILVIO MAZZOLENI,1,2,A,0,1,A,1,1,D,0,0,0,1,0,0,0,1,0,0,0,1,Roberto Donadoni,Rudi Garcia,37%,63%,3,3,0,0,0 (0),0 (0),5,8,4,5,0,1,1,3,0,0,0,0,12,10,0,0,1,2,1,5,1,2,6,9,3,3,0,0,0,0,1,0,9,2,3,2,3,4,3,5,4,3,3.75,3.4,2
2014-15,4,SAMPDORIA,CHIEVOVERONA,24/09/2014,LUIGI FERRARIS - GENOVA,20:45,MICHAEL FABBRI,2,1,H,1,0,H,1,1,D,0,0,1,0,0,1,0,0,0,0,0,1,Sinisa Mihajlovic,Eugenio Corini,57%,43%,2,3,1,0,0 (0),0 (0),12,4,5,3,0,0,7,1,1,0,0,0,25,27,0,0,4,2,2,1,1,2,6,1,1,3,0,0,0,0,0,2,8,12,4,9,3,3,4,2,2,3,1.91,3.3,4.2
2014-15,4,LAZIO,UDINESE,25/09/2014,OLIMPICO - ROMA,20:45,GIANLUCA ROCCHI,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,0,1,0,0,0,0,Stefano Pioli,Andrea Stramaccioni,65%,35%,2,7,0,0,0 (0),0 (0),12,4,7,3,0,0,5,1,1,0,0,0,16,9,0,0,8,4,0,1,3,3,8,3,3,1,0,0,0,0,1,1,24,2,6,5,7,4,4,1,9,2,1.8,3.5,4.5
2014-15,5,ROMA,HELLAS VERONA,27/09/2014,OLIMPICO - ROMA,18:00,CARMINE RUSSO,2,0,H,0,0,D,2,0,H,0,0,0,0,1,1,0,0,0,0,0,0,Rudi Garcia,Andrea Mandorlini,68%,32%,2,5,0,0,0 (0),0 (0),18,5,8,2,0,0,10,3,0,0,0,0,14,4,1,0,11,3,5,0,3,3,10,2,1,1,0,0,0,0,0,0,11,9,4,4,9,0,8,3,5,4,1.33,5,9
2014-15,5,ATALANTA,JUVENTUS,27/09/2014,GEWISS STADIUM - BERGAMO,20:45,DANIELE ORSATO,0,3,A,0,1,A,0,2,A,0,0,0,0,0,0,0,0,1,1,0,1,Stefano Colantuono,Massimiliano Allegri,46%,54%,5,1,0,1,1 (0),0 (0),7,14,1,8,1,0,6,6,0,0,0,0,18,16,0,0,2,3,0,3,0,2,2,3,2,3,0,0,0,0,4,6,6,13,5,4,6,12,2,6,3,4,6.5,3.8,1.55
2014-15,5,SASSUOLO,NAPOLI,28/09/2014,MAPEI STADIUM - REGGIO EMILIA,12:30,SEBASTIANO PERUZZO,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,0,1,0,0,0,0,Eusebio Di Francesco,Rafael Benitez,49%,51%,3,1,0,0,0 (0),0 (0),7,9,2,4,1,0,5,5,2,0,0,0,21,11,1,0,1,2,1,4,1,2,6,6,4,2,0,0,0,0,0,1,12,5,12,4,5,4,5,7,1,2,4.5,3.5,1.8
2014-15,5,CESENA,MILAN,28/09/2014,OROGEL STADIUM - CESENA,15:00,MARCO GUIDA,1,1,D,1,1,D,0,0,D,1,0,0,0,0,0,0,1,0,0,0,0,Pierpaolo Bisoli,Filippo Inzaghi,42%,58%,6,1,2,0,0 (0),0 (0),9,13,2,7,0,5,7,6,2,0,0,0,13,13,0,0,3,5,1,0,2,2,4,10,4,3,0,0,0,1,11,8,10,26,8,7,6,4,7,6,6,13,5.5,3.75,1.62
2014-15,5,CHIEVOVERONA,EMPOLI,28/09/2014,MARCANTONIO BENTEGODI - VERONA,15:00,DAVIDE MASSA,1,1,D,0,0,D,1,1,D,0,0,0,1,0,0,0,0,0,1,0,0,Eugenio Corini,Maurizio Sarri,48%,52%,2,4,1,0,0 (0),0 (0),16,5,5,3,0,0,11,2,1,0,0,0,18,14,0,0,2,3,2,2,5,0,11,1,3,1,0,0,0,0,2,1,18,5,16,13,5,1,3,1,6,3,2.25,3.25,3.25
2014-15,5,INTER,CAGLIARI,28/09/2014,GIUSEPPE MEAZZA - MILANO,15:00,LUCA BANTI,1,4,A,1,4,A,0,0,D,0,1,0,0,0,0,1,1,2,0,0,0,Walter Mazzarri,Zdenek Zeman,50%,50%,3,3,1,1,0 (0),1 (0),14,13,4,6,1,1,10,7,3,1,0,0,22,7,0,0,3,5,1,1,5,1,9,2,1,3,1,0,0,0,2,7,13,8,14,9,4,6,13,18,9,3,1.44,4.33,7
2014-15,5,TORINO,FIORENTINA,28/09/2014,OLIMPICO - TORINO,15:00,PAOLO VALERI,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,0,0,1,Gian Piero Ventura,Vincenzo Montella,46%,54%,6,3,2,0,0 (0),0 (0),8,11,4,7,0,1,4,4,0,1,0,0,14,14,0,0,7,3,2,2,3,0,6,4,3,2,0,0,0,0,1,3,7,9,12,6,9,7,4,3,3,1,2.88,3.2,2.5
2014-15,5,GENOA,SAMPDORIA,28/09/2014,LUIGI FERRARIS - GENOVA,20:45,ANTONIO DAMATO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Gian Piero Gasperini,Sinisa Mihajlovic,47%,53%,0,3,0,0,0 (0),0 (0),7,5,3,1,0,0,4,4,0,0,0,0,20,21,0,0,1,1,1,1,2,2,3,5,3,4,0,0,0,0,1,1,16,5,4,6,5,4,2,3,2,4,2.9,3,2.6
2014-15,5,UDINESE,PARMA,29/09/2014,DACIA ARENA - STADIO FRIULI - UDINE,19:00,GIANPAOLO CALVARESE,4,2,H,2,2,D,2,0,H,0,1,1,1,0,1,0,2,0,0,0,0,Andrea Stramaccioni,Roberto Donadoni,42%,58%,4,1,2,1,0 (0),1 (1),11,12,5,6,0,1,6,6,0,0,0,0,8,11,0,0,6,5,3,4,0,1,6,4,2,0,0,1,0,0,7,1,6,14,23,18,2,1,1,3,4,4,2.2,3.2,3.4
2014-15,5,PALERMO,LAZIO,29/09/2014,RENZO BARBERA - PALERMO,21:00,MARCO DI BELLO,0,4,A,0,1,A,0,3,A,0,0,0,0,0,0,0,0,1,0,1,2,Giuseppe Iachini,Stefano Pioli,47%,53%,7,6,3,3,0 (0),0 (0),10,12,6,11,0,0,4,1,0,0,0,0,12,16,0,0,9,8,6,1,0,1,4,1,2,4,0,0,0,0,3,1,7,5,14,8,21,19,9,10,6,1,2.9,3.25,2.4
2014-15,6,HELLAS VERONA,CAGLIARI,04/10/2014,MARCANTONIO BENTEGODI - VERONA,18:00,PIERO GIACOMELLI,1,0,H,0,0,D,1,0,H,0,0,0,0,0,1,0,0,0,0,0,0,Andrea Mandorlini,Zdenek Zeman,57%,43%,6,4,2,0,0 (0),0 (0),11,15,7,6,0,0,4,9,0,1,0,0,11,16,2,0,6,5,6,4,4,3,5,10,1,3,0,0,0,0,5,6,17,10,25,14,8,0,3,5,5,5,2,3.3,3.75
