Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2018-2019,18,INTER,NAPOLI,26/12/2018,STADIUM GIUSEPPE MEAZZA,20:30:00,PAOLO SILVIO  MAZZOLENI,ALESSANDRO  COSTANZO,GIACOMO  PAGANESSI,ROSARIO  ABISSO,GIANLUCA  MANGANIELLO,GIORGIO PERETTI,1,0,H,LUCIANO SPALLETTI,CARLO ANCELOTTI,4-3-3,4-4-2,96'48,55'33,0.57,27'23 (49%),16'27 (60%),10'56 (40%),28'10 (51%),12'42 (45%),15'28 (55%),6'40,3'33,7'14,2'54,3'54,3'08,3'35,4'03,4'44,5'35,4'02,6'10,9,9,5(1),4(0),0,0,4,3,4,5,3,2,8,5,0,0,3,3,5,0,12,8,380,358,0.88,0.84,23,29,127,146,226,181,31,29,9,12,0 (0),0 (0),115.83,26.654,79.365,9.811,112.317,29.065,74.22,9.032,6.9,6.8,16 (41%),8 (21%),15 (38%),18 (46%),13 (33%),8 (21%),0/0,0/0,6/9,2/10,0/0,0/0,1/1,0/0,2/10,2/3,0/0,0/0,LAUTARO MARTINEZ,10,PIOTR ZIELINSKI,20,2.75,3.3,2.62
2018-2019,19,JUVENTUS,SAMPDORIA,29/12/2018,STADIUM ALLIANZ STADIUM,12:30:00,PAOLO  VALERI,FILIPPO  VALERIANI,MAURO  VIVENZI,LIVIO  MARINELLI,FABIO  MARESCA,STEFANO DEL GIOVANE,2,1,H,MASSIMILIANO ALLEGRI,MARCO GIAMPAOLO,4-3-1-2,4-3-1-2,101'32,51'35,0.51,30'43 (60%),12'56 (42%),17'47 (58%),20'52 (40%),9'23 (45%),11'29 (55%),5'22,3'57,4'15,6'13,4'28,6'28,2'29,4'02,3'32,2'52,1'58,5'59,15,7,8(2),3(1),1,1,4,2,7,4,2,5,9,3,1,0,3,1,6,3,13,16,440,343,0.82,0.76,55,8,158,100,227,235,12,11,28,18,1 (1),1 (1),112.102,30.613,72.136,9.353,112.784,29.111,74.119,9.554,6.4,6.5,38 (51%),5 (7%),31 (42%),19 (39%),10 (20%),20 (41%),3/3,0/0,7/7,1/3,0/0,0/0,0/0,0/0,1/2,3/3,0/0,0/0,CRISTIANO RONALDO,7,FABIO QUAGLIARELLA,27,1.2,6.5,13.0
2018-2019,19,CHIEVOVERONA,FROSINONE,29/12/2018,STADIUM MARCANTONIO BENTEGODI,15:00:00,GIANLUCA  ROCCHI,VALENTINO  FIORITO,VALERIO  COLAROSSI,EUGENIO  ABBATTISTA,LUCA  BANTI,LORENZO MANGANELLI,1,0,H,DOMENICO DI CARLO,MARCO BARONI,4-3-1-2,3-5-2,100'02,43'47,0.44,26'16 (60%),13'47 (52%),12'29 (48%),17'31 (40%),11'04 (63%),6'27 (37%),2'55,4'20,6'42,3'45,4'15,4'18,2'03,4'01,4'01,2'20,1'25,3'41,9,12,3(1),4(0),1,2,2,2,6,8,4,2,3,1,0,0,3,0,4,2,23,17,402,242,0.82,0.69,35,18,154,89,213,135,16,4,26,23,0 (0),0 (0),113.816,28.672,74.887,10.257,110.318,26.139,75.378,8.801,6.8,6.8,20 (32%),11 (17%),32 (51%),15 (34%),8 (18%),21 (48%),1/1,0/1,1/2,6/7,0/0,0/0,2/2,0/1,1/1,2/4,0/0,0/0,EMANUELE GIACCHERINI,17,CAMILLO CIANO,28,2.3,3.0,3.4
2018-2019,19,EMPOLI,INTER,29/12/2018,STADIUM CARLO CASTELLANI,15:00:00,FEDERICO  LA PENNA,GIANLUCA  VUOTO,CIRO  CARBONE,ANTONIO  DI MARTINO,MARCO  GUIDA,RODOLFO DI VUOLO,0,1,A,GIUSEPPE IACHINI,LUCIANO SPALLETTI,3-5-2,4-3-3,96'10,60'58,0.63,20'10 (33%),11'17 (56%),8'53 (44%),40'48 (67%),23'24 (57%),17'24 (43%),4'06,2'40,4'31,2'24,2'54,3'22,5'00,7'00,7'13,7'31,5'51,8'26,7,7,3(0),6(1),0,1,1,4,4,1,5,3,2,6,0,1,1,7,4,6,14,4,310,551,0.81,0.88,43,34,116,170,151,347,9,21,20,20,0 (0),0 (0),107.199,26.638,72.268,8.293,107.527,26.409,72.08,9.038,6.6,6.6,21 (47%),5 (11%),19 (42%),27 (44%),6 (10%),28 (46%),4/5,0/2,1/1,2/4,0/0,0/1,4/4,0/2,5/5,3/6,1/1,3/5,FRANCESCO CAPUTO,11,KEITA,11,6.5,4.2,1.5
2018-2019,19,GENOA,FIORENTINA,29/12/2018,STADIUM LUIGI FERRARIS,15:00:00,DAVIDE  MASSA,ALBERTO  TEGONI,LORENZO  GORI,MARCO  SERRA,PIERO  GIACOMELLI,GIANMATTIA TASSO,0,0,D,CESARE PRANDELLI,STEFANO PIOLI,3-5-2,4-3-3,98'02,51'19,0.52,22'31 (44%),10'22 (46%),12'09 (54%),28'48 (56%),17'19 (60%),11'29 (40%),3'08,5'09,3'21,4'08,2'12,4'33,3'07,4'31,8'01,4'53,2'35,5'41,7,8,3(0),6(0),0,0,1,5,4,2,4,3,4,6,0,0,2,1,7,3,21,8,236,338,0.66,0.76,28,37,77,142,130,159,23,26,34,21,0 (0),0 (0),108.25,29.274,68.975,10.001,111.515,29.464,72.402,9.649,6.4,6.6,29 (44%),12 (18%),25 (38%),23 (43%),10 (19%),20 (38%),3/3,4/4,3/4,2/5,0/0,3/4,0/0,4/4,2/5,1/1,2/3,4/6,KRZYSZTOF PIATEK,9,FEDERICO CHIESA,25,2.54,3.25,2.7
2018-2019,19,LAZIO,TORINO,29/12/2018,STADIUM OLIMPICO,15:00:00,MASSIMILIANO  IRRATI,GIORGIO  PERETTI,GIORGIO  SCHENONE,LUIGI  NASCA,DANIELE  ORSATO,ALESSANDRO COSTANZO,1,1,D,SIMONE INZAGHI,WALTER MAZZARRI,3-4-2-1,3-5-2,98'44,45'42,0.46,22'26 (49%),9'40 (43%),12'46 (57%),23'16 (51%),13'39 (59%),9'37 (41%),4'01,4'22,3'15,3'16,3'44,3'48,3'04,3'20,5'13,4'17,2'14,5'08,10,7,5(1),6(1),0,1,3,4,5,1,3,2,7,5,1,0,1,0,7,3,20,22,354,336,0.78,0.75,32,33,127,107,195,196,24,19,33,21,0 (0),1 (1),114.514,27.802,75.493,11.219,110.281,28.469,71.938,9.874,6.9,6.8,27 (40%),11 (17%),29 (43%),25 (58%),6 (14%),12 (28%),0/0,3/6,0/2,2/3,1/3,1/1,0/0,3/6,1/2,3/4,1/1,1/1,SERGEJ MILINKOVIC-SAVIC,21,ANDREA BELOTTI,9,1.75,3.6,4.6
2018-2019,19,PARMA,ROMA,29/12/2018,STADIUM ENNIO TARDINI,15:00:00,GIANLUCA  MANGANIELLO,ELENITO  DI LIBERATORE,MAURO  TONOLINI,FABIO  PISCOPO,PAOLO SILVIO  MAZZOLENI,DANIELE BINDONI,0,2,A,ROBERTO D'AVERSA,EUSEBIO DI FRANCESCO,4-3-3,4-2-3-1,95'02,44'50,0.47,17'23 (39%),9'00 (52%),8'23 (48%),27'27 (61%),12'16 (45%),15'11 (55%),3'23,3'42,2'40,2'07,1'07,4'24,4'41,6'02,2'50,4'26,2'42,6'45,3,19,2(0),8(2),0,0,1,6,1,11,4,2,2,12,0,2,7,1,2,7,7,11,238,444,0.68,0.86,25,25,70,163,143,256,15,30,13,23,0 (0),0 (0),105.849,27.229,68.586,10.034,99.384,27.095,63.848,8.441,6.6,6.5,14 (41%),8 (24%),12 (35%),21 (37%),11 (19%),25 (44%),0/0,0/0,1/2,3/4,0/0,0/0,1/2,0/0,2/4,3/4,0/0,0/0,LEO STULAC,5,CENGIZ UNDER,17,4.75,3.8,1.7
2018-2019,19,SASSUOLO,ATALANTA,29/12/2018,STADIUM MAPEI STADIUM,15:00:00,FABRIZIO  PASQUA,FABRIZIO  POSADO,ENRICO  CALIARI,MANUEL  VOLPI,MARCO  PICCININI,ALESSANDRO LO CICERO,2,6,A,ROBERTO DE ZERBI,GIAN PIERO GASPERINI,4-3-3,3-4-1-2,93'51,50'14,0.54,20'51 (42%),11'50 (57%),9'01 (43%),29'23 (58%),7'41 (26%),21'42 (74%),4'04,2'01,4'23,3'25,3'00,3'58,6'11,2'33,5'19,5'17,4'16,5'46,13,13,8(2),9(6),0,0,5,8,5,4,2,6,6,12,2,5,2,1,1,8,10,10,314,441,0.8,0.82,21,33,105,118,188,290,15,18,34,31,0 (0),0 (0),109.384,26.282,74.15,8.952,110.931,26.873,74.002,10.056,6.8,7.0,18 (31%),20 (35%),20 (34%),23 (36%),11 (17%),30 (47%),1/1,0/0,0/0,2/3,0/0,0/0,1/1,0/0,0/1,3/3,0/0,0/0,ALFRED DUNCAN,32,JOSIP ILICIC,72,3.4,3.5,2.04
2018-2019,19,UDINESE,CAGLIARI,29/12/2018,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",15:00:00,MAURIZIO  MARIANI,FILIPPO  MELI,ALESSIO  TOLFO,RICCARDO  ROS,LUCA  PAIRETTO,GIACOMO PAGANESSI,2,0,H,DAVIDE NICOLA,ROLANDO MARAN,3-5-2,4-3-1-2,95'34,48'07,0.5,28'46 (60%),15'04 (52%),13'42 (48%),19'21 (40%),14'24 (74%),4'57 (26%),5'25,4'18,4'09,3'24,5'02,6'28,4'38,3'53,3'14,2'07,2'57,2'31,19,4,7(2),1(0),1,0,5,1,12,3,1,4,9,3,2,0,2,1,6,6,11,15,356,369,0.85,0.77,39,33,120,154,197,182,32,20,20,11,1 (0),0 (0),100.855,27.083,65.86,7.912,101.485,25.175,68.545,7.765,6.3,6.6,29 (56%),8 (15%),15 (29%),9 (28%),14 (44%),9 (28%),1/1,0/0,2/5,2/6,0/0,0/0,0/0,0/0,0/2,1/6,0/0,0/0,VALON BEHRAMI,11,ALBERTO CERRI,9,2.3,3.1,3.2
2018-2019,19,NAPOLI,BOLOGNA,29/12/2018,STADIUM SAN PAOLO,18:00:00,GIANPAOLO  CALVARESE,MAURO  GALETTO,DARIO  CECCONI,ANTONIO  GIUA,DANIELE  DOVERI,SERGIO RANGHETTI,3,2,H,CARLO ANCELOTTI,FILIPPO INZAGHI,4-4-2,3-5-2,97'33,56'13,0.58,32'02 (57%),13'28 (42%),18'34 (58%),24'11 (43%),15'00 (62%),9'11 (38%),6'25,5'13,5'14,3'03,5'56,6'11,4'04,2'24,5'14,5'41,2'56,3'52,14,10,9(3),4(2),1,0,6,4,5,6,2,5,10,8,2,2,2,1,6,5,14,10,562,268,0.9,0.76,42,37,191,97,329,134,37,21,20,28,0 (0),0 (0),113.749,29.936,73.082,10.731,119.493,26.4,82.243,10.85,6.7,7.1,35 (51%),15 (23%),18 (26%),20 (36%),17 (31%),18 (33%),0/0,1/2,4/11,6/11,0/0,0/0,0/0,1/2,3/7,5/9,0/0,0/0,ARKADIUSZ MILIK,99,LARANGEIRA DANILO,23,1.28,5.5,10.0
2018-2019,19,MILAN,SPAL,29/12/2018,STADIUM GIUSEPPE MEAZZA,20:30:00,ROSARIO  ABISSO,EMANUELE  PRENNA,DOMENICO  ROCCA,DANIELE  CHIFFI,MICHAEL  FABBRI,DAMIANO DI IORIO,2,1,H,GENNARO GATTUSO,LEONARDO SEMPLICI,4-3-3,3-5-2,95'15,52'04,0.55,34'44 (67%),16'13 (47%),18'31 (53%),17'20 (33%),14'32 (84%),2'48 (16%),6'20,5'34,7'35,5'39,4'36,5'00,1'57,3'17,2'40,2'56,1'34,4'56,11,9,6(2),4(1),0,0,4,2,5,5,3,4,9,4,1,1,1,1,11,2,15,10,505,251,0.85,0.78,49,13,186,76,270,162,25,12,19,10,0 (0),0 (0),104.509,30.356,66.929,7.224,109.543,29.005,73.316,7.222,6.3,6.6,25 (36%),13 (19%),31 (45%),6 (25%),5 (21%),13 (54%),1/1,7/7,2/3,1/3,1/2,2/3,0/0,7/7,0/0,1/2,0/0,0/0,GONZALO HIGUAIN,9,ANDREA PETAGNA,37,1.5,4.0,7.0
2018-2019,20,ROMA,TORINO,19/01/2019,STADIUM OLIMPICO,15:00:00,PIERO  GIACOMELLI,FILIPPO  MELI,STEFANO  DEL GIOVANE,FABIO  MARESCA,MASSIMILIANO  IRRATI,GIORGIO SCHENONE,3,2,H,EUSEBIO DI FRANCESCO,WALTER MAZZARRI,4-2-3-1,3-5-2,96'38,39'11,0.41,20'58 (54%),9'20 (45%),11'38 (55%),18'13 (46%),12'04 (66%),6'09 (34%),2'44,3'33,4'00,3'59,3'11,3'31,3'20,3'55,3'06,4'13,1'07,2'32,11,8,9(3),3(2),1,0,7,1,2,5,0,6,9,7,1,0,1,6,6,3,17,17,270,220,0.73,0.64,27,22,86,79,157,119,18,8,37,23,1 (1),0 (0),107.002,29.582,66.954,10.466,104.681,30.002,64.073,10.606,6.6,6.4,30 (45%),5 (7%),32 (48%),27 (59%),7 (15%),12 (26%),1/2,1/2,1/2,2/7,0/0,0/0,1/1,1/2,3/4,2/4,0/0,0/0,NICOLO' ZANIOLO,22,CRISTIAN ANSALDI,15,1.6,4.0,5.75
2018-2019,20,UDINESE,PARMA,19/01/2019,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",18:00:00,PAOLO SILVIO  MAZZOLENI,STEFANO  LIBERTI,EDOARDO  RASPOLLINI,ANTONIO  RAPUANO,GIANLUCA  AURELIANO,FABIANO PRETI,1,2,A,DAVIDE NICOLA,ROBERTO D'AVERSA,3-5-2,4-3-3,96'42,48'46,0.5,32'00 (66%),14'30 (45%),17'30 (55%),16'46 (34%),10'58 (65%),5'48 (35%),4'20,4'11,7'11,5'10,4'40,6'28,3'01,2'23,2'51,3'44,1'19,3'28,17,7,9(1),4(2),0,2,5,3,8,3,2,7,6,2,0,0,1,0,8,2,17,15,436,282,0.86,0.73,29,42,168,110,239,130,23,10,17,35,0 (0),1 (1),108.55,29.851,69.194,9.505,112.339,28.995,74.821,8.523,6.5,6.7,23 (37%),12 (19%),27 (44%),28 (55%),7 (14%),16 (31%),1/1,1/1,4/6,3/5,0/0,0/0,0/0,1/1,0/0,1/1,0/0,0/0,RODRIGO DE PAUL,10,ROBERTO INGLESE,45,2.1,3.1,4.0
2018-2019,20,INTER,SASSUOLO,19/01/2019,STADIUM GIUSEPPE MEAZZA,20:30:00,LUCA  PAIRETTO,PASQUALE  DE MEO,ALFONSO  MARRAZZO,FRANCESCO  FOURNEAU,LUCA  BANTI,MAURO VIVENZI,0,0,D,LUCIANO SPALLETTI,ROBERTO DE ZERBI,4-2-3-1,4-3-2-1,94'58,49'57,0.53,27'44 (56%),11'51 (43%),15'53 (57%),22'13 (44%),14'08 (64%),8'05 (36%),4'04,5'55,4'18,4'28,3'39,5'20,4'02,4'15,3'21,3'40,3'41,3'14,8,11,4(0),6(0),0,0,4,4,4,5,5,4,6,5,0,0,4,1,11,0,16,16,464,331,0.83,0.79,50,37,190,125,224,169,33,27,29,13,0 (0),0 (0),109.147,28.185,72.404,8.558,111.969,26.798,77.017,8.154,6.6,6.8,29 (42%),11 (16%),29 (42%),14 (40%),6 (17%),15 (43%),3/4,0/1,3/5,5/6,0/2,2/6,2/2,0/1,1/1,0/1,0/0,0/2,MATIAS VECINO,8,KEVIN-PRINCE BOATENG,27,1.4,4.75,8.0
2018-2019,20,FROSINONE,ATALANTA,20/01/2019,STADIUM BENITO STIRPE,12:30:00,DANIELE  CHIFFI,MAURO  TONOLINI,ELENITO  DI LIBERATORE,ALEANDRO  DI PAOLO,MAURIZIO  MARIANI,CIRO CARBONE,0,5,A,MARCO BARONI,GIAN PIERO GASPERINI,3-5-2,3-4-1-2,93'08,54'40,0.59,17'47 (33%),12'04 (68%),5'43 (32%),36'53 (67%),18'36 (50%),18'17 (50%),2'27,2'36,3'24,2'21,2'51,4'08,6'42,6'02,4'50,6'54,5'11,7'14,5,14,3(0),8(5),0,0,2,7,2,6,3,3,2,10,0,5,5,0,4,8,12,11,246,661,0.76,0.89,11,16,100,204,135,441,21,39,14,17,0 (0),0 (0),107.72,26.081,73.61,8.029,110.543,26.901,74.318,9.324,6.8,7.0,12 (35%),4 (12%),18 (53%),29 (44%),5 (8%),32 (48%),0/0,0/0,0/2,3/6,0/0,0/0,1/2,0/0,3/8,1/3,0/0,0/0,RAMAN CHIBSAH,66,DUVAN ZAPATA,91,8.5,4.5,1.4
2018-2019,20,FIORENTINA,SAMPDORIA,20/01/2019,STADIUM ARTEMIO FRANCHI,15:00:00,MARCO  DI BELLO,GIACOMO  PAGANESSI,SERGIO  RANGHETTI,RICCARDO  ROS,DANIELE  DOVERI,FILIPPO VALERIANI,3,3,D,STEFANO PIOLI,MARCO GIAMPAOLO,4-3-3,4-3-1-2,95'00,53'34,0.56,27'51 (52%),16'04 (58%),11'47 (42%),25'43 (48%),18'13 (71%),7'30 (29%),5'12,5'14,4'48,4'56,3'31,4'10,3'39,3'55,4'30,5'34,5'09,2'56,8,9,4(3),5(3),0,2,4,3,4,4,2,0,7,6,0,1,4,1,4,7,15,22,282,380,0.74,0.79,26,26,111,115,145,239,12,14,23,24,0 (0),1 (1),99.874,25.589,65.97,8.315,105.292,27.365,69.363,8.564,6.6,6.6,23 (51%),3 (7%),19 (42%),22 (42%),12 (22%),19 (36%),0/0,1/1,0/1,0/2,0/0,0/0,0/1,1/1,3/4,2/3,0/0,0/0,LUIS MURIEL,29,FABIO QUAGLIARELLA,27,1.8,3.6,4.5
2018-2019,20,SPAL,BOLOGNA,20/01/2019,STADIUM PAOLO MAZZA,15:00:00,MICHAEL  FABBRI,ALESSANDRO  COSTANZO,SALVATORE  LONGO,LIVIO  MARINELLI,MARCO  GUIDA,ALESSIO TOLFO,1,1,D,LEONARDO SEMPLICI,FILIPPO INZAGHI,3-5-2,4-3-3,98'38,41'35,0.42,22'14 (53%),10'04 (45%),12'10 (55%),19'21 (47%),7'31 (39%),11'50 (61%),3'09,2'42,3'11,3'41,4'28,1'58,3'42,3'45,3'55,2'37,2'12,3'10,13,12,9(1),6(1),0,0,8,2,4,6,4,6,5,10,1,0,1,4,7,7,13,18,330,272,0.81,0.76,18,33,98,105,214,134,27,24,15,25,0 (0),0 (0),105.536,27.182,69.12,9.234,108.306,25.909,73.061,9.336,6.6,6.7,18 (36%),10 (20%),22 (44%),31 (57%),6 (12%),17 (31%),0/0,0/0,1/2,3/4,0/0,0/0,2/3,0/0,0/4,1/1,0/0,0/0,MIRCO ANTENUCCI,7,RODRIGO PALACIO,24,2.5,3.1,3.1
2018-2019,20,CAGLIARI,EMPOLI,20/01/2019,STADIUM SARDEGNA ARENA,18:00:00,FABRIZIO  PASQUA,LUCA  MONDIN,GIANMATTIA  TASSO,VALERIO  MARINI,ROSARIO  ABISSO,MATTEO PASSERI,2,2,D,ROLANDO MARAN,GIUSEPPE IACHINI,4-3-1-2,3-5-1-1,93'20,48'04,0.52,27'50 (58%),13'38 (49%),14'12 (51%),20'14 (42%),9'46 (48%),10'28 (52%),4'06,4'15,4'43,4'37,3'27,6'42,2'58,2'59,4'42,3'33,3'08,2'54,13,9,3(2),4(2),0,0,2,3,10,5,2,1,4,3,2,2,8,1,4,7,11,10,436,314,0.82,0.75,33,39,125,114,278,161,23,18,26,29,0 (0),0 (0),111.934,24.811,76.666,10.457,106.694,25.192,72.315,9.187,7.2,7.0,26 (45%),11 (19%),21 (36%),20 (38%),7 (14%),25 (48%),0/0,3/3,2/2,7/8,0/0,0/0,0/0,3/3,2/3,2/4,0/0,0/0,LEONARDO PAVOLETTI,30,MIHA ZAJC,6,2.0,3.5,3.8
2018-2019,20,NAPOLI,LAZIO,20/01/2019,STADIUM SAN PAOLO,20:30:00,GIANLUCA  ROCCHI,ALBERTO  TEGONI,STEFANO  ALASSIO,DAVIDE  MASSA,GIANLUCA  MANGANIELLO,GIORGIO PERETTI,2,1,H,CARLO ANCELOTTI,SIMONE INZAGHI,4-4-2,3-5-1-1,97'28,50'55,0.52,26'42 (52%),16'11 (61%),10'31 (39%),24'13 (48%),11'36 (48%),12'37 (52%),5'21,4'42,4'49,3'11,3'45,4'54,3'54,3'56,4'12,4'42,3'25,4'04,17,13,13(2),9(1),1,0,8,5,4,4,8,7,10,5,1,1,2,2,7,8,6,12,479,357,0.86,0.84,33,29,139,114,307,214,25,17,18,14,0 (0),0 (0),109.439,28.738,71.279,9.422,112.026,25.411,76.595,10.02,6.6,6.9,23 (49%),6 (13%),18 (38%),32 (71%),7 (16%),6 (13%),1/1,0/0,3/5,1/3,0/1,1/1,1/1,0/0,2/3,1/1,1/2,2/3,ARKADIUSZ MILIK,99,CIRO IMMOBILE,17,1.9,3.6,4.0
2018-2019,20,GENOA,MILAN,21/01/2019,STADIUM LUIGI FERRARIS,15:00:00,DANIELE  ORSATO,LORENZO  MANGANELLI,DANIELE  BINDONI,JUAN LUCA  SACCHI,FEDERICO  LA PENNA,GIANLUCA VUOTO,0,2,A,CESARE PRANDELLI,GENNARO GATTUSO,4-4-2,4-3-3,94'58,53'19,0.56,20'43 (39%),10'38 (51%),10'05 (49%),32'36 (61%),18'01 (55%),14'35 (45%),2'53,4'07,3'38,2'55,3'28,3'42,4'23,5'04,5'40,5'36,4'56,6'56,13,9,7(0),7(2),0,0,5,3,6,2,4,7,10,6,0,2,0,0,5,6,14,17,259,435,0.8,0.87,22,36,88,180,149,219,29,28,18,15,0 (0),0 (0),108.17,27.543,72.4,8.227,109.638,28.075,73.344,8.219,6.6,6.7,22 (46%),5 (10%),21 (44%),20 (38%),8 (15%),25 (47%),0/0,1/1,2/9,2/5,0/0,0/0,1/1,1/1,1/3,2/8,0/0,0/0,MIGUEL VELOSO,44,SUSO,8,3.2,3.2,2.37
2018-2019,20,JUVENTUS,CHIEVOVERONA,21/01/2019,STADIUM ALLIANZ STADIUM,20:30:00,MARCO  PICCININI,RODOLFO  DI VUOLO,DOMENICO  ROCCA,IVANO  PEZZUTO,GIANPAOLO  CALVARESE,FABRIZIO POSADO,3,0,H,MASSIMILIANO ALLEGRI,DOMENICO DI CARLO,4-4-2,3-4-1-2,95'00,56'29,0.59,33'32 (59%),15'37 (47%),17'55 (53%),22'57 (41%),10'48 (47%),12'09 (53%),6'13,5'36,6'06,5'23,4'43,5'31,4'40,3'21,5'18,3'45,3'02,2'50,19,7,11(3),3(0),1,0,7,2,8,4,3,8,8,3,2,0,1,1,12,5,10,7,585,333,0.92,0.85,49,20,210,117,326,196,21,16,22,13,1 (0),0 (0),112.334,30.085,73.432,8.817,117.822,26.257,82.254,9.311,6.8,7.2,31 (60%),7 (13%),14 (27%),23 (55%),5 (12%),14 (33%),2/2,0/0,1/2,1/1,0/0,0/0,1/2,0/0,2/3,1/2,0/0,0/0,FEDERICO BERNARDESCHI,33,RICCARDO MEGGIORINI,69,1.11,10.0,21.0
2018-2019,21,SASSUOLO,CAGLIARI,26/01/2019,STADIUM MAPEI STADIUM,15:00:00,MASSIMILIANO  IRRATI,DAMIANO  DI IORIO,VALERIO  VECCHI,FRANCESCO  GUCCINI,MICHAEL  FABBRI,RODOLFO DI VUOLO,3,0,H,ROBERTO DE ZERBI,ROLANDO MARAN,4-3-3,4-3-1-2,99'48,52'40,0.53,24'42 (47%),16'58 (69%),7'44 (31%),27'58 (53%),6'53 (25%),21'05 (75%),6'14,3'41,4'04,3'31,3'47,3'25,1'41,2'59,9'16,5'53,3'24,4'45,11,7,9(3),3(0),2,0,6,2,2,4,3,6,8,1,1,0,1,2,4,12,14,17,328,406,0.79,0.82,24,49,114,166,190,191,15,20,16,23,1 (1),0 (0),116.708,28.31,79.448,8.95,112.588,27.728,75.7,9.16,6.8,6.6,15 (38%),6 (14%),19 (48%),9 (16%),10 (17%),39 (67%),0/1,2/3,2/3,3/4,0/0,0/0,0/0,2/3,3/4,4/6,0/0,0/0,KHOUMA BABACAR,30,PAOLO FARAGO',24,2.0,3.3,4.0
2018-2019,21,SAMPDORIA,UDINESE,26/01/2019,STADIUM LUIGI FERRARIS,18:00:00,DAVIDE  MASSA,EMANUELE  PRENNA,NICCOLO'  PAGLIARDINI,LUIGI  PILLITTERI,FABRIZIO  PASQUA,ALFONSO MARRAZZO,4,0,H,MARCO GIAMPAOLO,DAVIDE NICOLA,4-3-1-2,3-5-2,94'03,48'59,0.52,26'59 (55%),12'24 (46%),14'35 (54%),22'00 (45%),12'42 (58%),9'18 (42%),5'46,4'40,3'54,3'23,3'52,5'24,2'50,4'36,3'04,2'54,3'25,5'11,14,6,9(4),0(0),3,0,6,0,5,6,0,5,7,0,2,0,2,5,1,1,14,13,427,322,0.82,0.83,41,30,132,117,254,175,19,11,16,16,2 (2),0 (0),102.433,26.8,68.127,7.506,100.236,26.804,64.816,8.616,6.4,6.3,16 (32%),15 (30%),19 (38%),13 (32%),8 (19%),20 (49%),1/1,1/1,1/1,1/1,0/0,0/0,0/0,1/1,3/4,2/2,0/0,0/0,FABIO QUAGLIARELLA,27,SEKO FOFANA,6,1.83,3.5,4.75
