Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_off_T1,Atp_off_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,bet365_home_win,bet365_draw,bet365_away_win
2011-12,14,BOLOGNA,ROBUR SIENA,04/12/2011,RENATO DALL'ARA - BOLOGNA,15:00,PAOLO SILVIO MAZZOLENI,1,0,H,1,0,H,0,0,D,0,1,0,0,0,0,0,0,0,0,0,0,Stefano Pioli,Giuseppe Sannino,3,5,0 (0),0 (0),13,10,6,4,7,6,23,17,1,0,2,1,1,3,5,6,1,2,0,0,0,0,2.5,3,3
2011-12,14,CHIEVOVERONA,ATALANTA,04/12/2011,MARCANTONIO BENTEGODI - VERONA,15:00,RICCARDO PINZANI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Domenico Di Carlo,Stefano Colantuono,1,1,0 (0),0 (0),7,3,1,1,6,2,9,18,0,0,0,0,3,1,3,4,2,2,0,0,0,0,2.3,3.1,3.25
2011-12,14,FIORENTINA,ROMA,04/12/2011,ARTEMIO FRANCHI - FIRENZE,15:00,ANTONIO DAMATO,3,0,H,2,0,H,1,0,H,0,1,1,0,0,1,0,0,0,0,0,0,Delio Rossi,Luis Enrique,4,3,2 (2),0 (0),11,6,6,4,5,2,10,7,0,0,0,0,2,1,10,8,0,0,0,1,0,2,2.4,3.1,3.1
2011-12,14,JUVENTUS,CESENA,04/12/2011,ALLIANZ STADIUM - TORINO,15:00,DANIELE DOVERI,2,0,H,0,0,D,2,0,H,0,0,0,0,1,1,0,0,0,0,0,0,Antonio Conte,Daniele Arrigoni,1,6,1 (1),0 (0),20,2,8,1,12,1,8,15,0,0,2,0,5,2,10,1,0,2,0,0,0,1,1.25,5.5,12
2011-12,14,PARMA,PALERMO,04/12/2011,ENNIO TARDINI - PARMA,20:45,LUCA BANTI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Franco Colomba,Devis Mangia,3,3,0 (0),0 (0),17,7,5,3,12,4,12,17,2,0,0,0,1,1,6,2,1,2,0,0,0,0,2.1,3.2,3.6
2011-12,14,LAZIO,NOVARA,05/12/2011,OLIMPICO - ROMA,20:45,GABRIELE GAVA,3,0,H,2,0,H,1,0,H,0,2,0,0,1,0,0,0,0,0,0,0,Edoardo Reja,Attilio Tesser,4,4,0 (0),0 (0),15,6,8,5,7,1,9,12,1,1,5,2,0,7,10,5,1,2,0,0,0,0,1.36,4.5,9
2011-12,15,LECCE,LAZIO,10/12/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,18:00,CARMINE RUSSO,2,3,A,1,1,D,1,2,A,1,0,0,1,0,0,0,1,0,1,0,1,Serse Cosmi,Edoardo Reja,1,6,1 (1),0 (0),12,9,8,4,4,5,13,15,0,0,3,3,3,2,3,1,2,3,0,0,0,0,4.2,3.25,1.91
2011-12,15,ROBUR SIENA,GENOA,10/12/2011,ARTEMIO FRANCHI - SIENA,18:00,MARCO GUIDA,0,2,A,0,0,D,0,2,A,0,0,0,0,0,0,0,0,0,1,0,1,Giuseppe Sannino,Alberto Malesani,1,0,0 (0),0 (0),7,11,1,3,6,8,13,11,1,0,0,0,3,2,8,6,4,2,0,0,0,0,2.1,3.2,3.6
2011-12,15,INTER,FIORENTINA,10/12/2011,GIUSEPPE MEAZZA - MILANO,20:45,PAOLO TAGLIAVENTO,2,0,H,1,0,H,1,0,H,0,0,1,1,0,0,0,0,0,0,0,0,Claudio Ranieri,Delio Rossi,2,5,0 (0),0 (0),16,7,7,2,9,5,13,12,0,0,2,0,1,1,6,2,1,1,0,0,0,0,1.91,3.25,4.33
2011-12,15,PALERMO,CESENA,10/12/2011,RENZO BARBERA - PALERMO,20:45,GIANPAOLO CALVARESE,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Devis Mangia,Daniele Arrigoni,6,7,0 (0),0 (0),12,18,7,7,5,11,12,13,0,1,3,0,5,0,6,4,1,4,1,0,0,0,1.62,3.6,6
2011-12,15,ATALANTA,CATANIA,11/12/2011,GEWISS STADIUM - BERGAMO,15:00,ANTONIO DANILO GIANNOCCARO,1,1,D,0,1,A,1,0,H,0,0,0,0,1,0,0,1,0,0,0,0,Stefano Colantuono,Vincenzo Montella,3,2,0 (0),0 (0),8,8,3,4,5,4,15,18,0,0,1,1,5,0,8,2,3,2,0,1,0,0,2,3.2,4
2011-12,15,BOLOGNA,MILAN,11/12/2011,RENATO DALL'ARA - BOLOGNA,15:00,GIANLUCA ROCCHI,2,2,D,1,1,D,1,1,D,1,0,0,0,1,0,0,1,0,0,1,0,Stefano Pioli,Massimiliano Allegri,3,3,0 (0),1 (1),10,12,5,6,5,6,15,8,0,1,0,4,4,2,2,11,4,3,0,0,0,0,8,4,1.44
2011-12,15,CAGLIARI,PARMA,11/12/2011,SANT'ELIA - CAGLIARI,15:00,CHRISTIAN BRIGHI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Davide Ballardini,Franco Colomba,4,1,0 (0),0 (0),5,8,1,4,4,4,15,14,0,0,1,2,3,6,3,5,2,4,0,0,0,0,2.1,3.1,3.75
2011-12,15,UDINESE,CHIEVOVERONA,11/12/2011,DACIA ARENA - STADIO FRIULI - UDINE,15:00,PAOLO VALERI,2,1,H,0,0,D,2,1,H,0,0,0,0,1,1,0,0,0,0,0,1,Francesco Guidolin,Domenico Di Carlo,1,3,0 (0),0 (0),12,8,5,2,7,6,9,13,0,0,1,1,6,3,6,4,2,5,0,0,0,0,1.5,3.75,7.5
2011-12,15,NOVARA,NAPOLI,11/12/2011,SILVIO PIOLA - NOVARA,20:45,ANDREA DE MARCO,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,0,0,1,Attilio Tesser,Walter Mazzarri,3,2,0 (0),0 (0),8,11,3,4,5,7,17,9,0,0,0,2,2,1,4,3,3,0,0,0,0,0,4,3.4,1.91
2011-12,15,ROMA,JUVENTUS,12/12/2011,OLIMPICO - ROMA,20:45,DANIELE ORSATO,1,1,D,1,0,H,0,1,A,1,0,0,0,0,0,0,0,0,0,1,0,Luis Enrique,Antonio Conte,6,0,1 (0),0 (0),3,10,2,7,1,3,16,11,0,0,1,2,1,4,4,10,3,3,0,0,0,0,4,3.2,2
2011-12,16,CHIEVOVERONA,CAGLIARI,17/12/2011,MARCANTONIO BENTEGODI - VERONA,18:00,ANGELO GIANCOLA,2,0,H,1,0,H,1,0,H,0,0,1,1,0,0,0,0,0,0,0,0,Domenico Di Carlo,Davide Ballardini,5,6,0 (0),0 (0),14,7,8,5,6,2,17,10,0,0,0,0,4,1,4,6,2,2,0,0,0,0,1.91,3.25,4.2
2011-12,16,FIORENTINA,ATALANTA,17/12/2011,ARTEMIO FRANCHI - FIRENZE,20:45,SEBASTIANO PERUZZO,2,2,D,1,0,H,1,2,A,1,0,0,0,0,1,0,0,0,0,0,2,Delio Rossi,Stefano Colantuono,1,1,0 (0),0 (0),12,6,4,3,8,3,19,13,1,0,2,2,0,3,7,6,1,3,0,0,0,0,1.91,3.25,4.33
2011-12,16,MILAN,ROBUR SIENA,17/12/2011,GIUSEPPE MEAZZA - MILANO,20:45,MAURO BERGONZI,2,0,H,0,0,D,2,0,H,0,0,0,1,1,0,0,0,0,0,0,0,Massimiliano Allegri,Giuseppe Sannino,3,4,1 (1),0 (0),14,6,6,3,8,3,17,5,0,0,3,0,3,9,10,2,1,2,0,0,0,0,1.29,5,12
2011-12,16,CATANIA,PALERMO,18/12/2011,ANGELO MASSIMINO - CATANIA,15:00,ANTONIO DAMATO,2,0,H,1,0,H,1,0,H,0,0,1,0,1,0,0,0,0,0,0,0,Vincenzo Montella,Devis Mangia,2,5,1 (1),0 (0),13,6,7,2,6,4,21,19,0,0,0,0,2,2,4,2,3,5,0,0,0,0,2.1,3.2,3.6
2011-12,16,CESENA,INTER,18/12/2011,OROGEL STADIUM - CESENA,15:00,ANDREA ROMEO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Daniele Arrigoni,Claudio Ranieri,2,6,0 (0),0 (0),11,8,6,3,5,5,11,6,0,0,1,3,2,1,5,9,2,0,0,0,0,0,4.75,3.25,1.83
2011-12,16,GENOA,BOLOGNA,18/12/2011,LUIGI FERRARIS - GENOVA,15:00,ANTONIO DANILO GIANNOCCARO,2,1,H,1,0,H,1,1,D,0,0,1,0,0,1,0,0,0,1,0,0,Alberto Malesani,Stefano Pioli,4,5,0 (0),0 (0),12,14,7,6,5,8,14,16,0,1,1,2,1,7,1,2,3,3,0,0,0,0,1.8,3.4,4.75
2011-12,16,JUVENTUS,NOVARA,18/12/2011,ALLIANZ STADIUM - TORINO,15:00,ANDREA GERVASONI,2,0,H,1,0,H,1,0,H,1,0,0,0,1,0,0,0,0,0,0,0,Antonio Conte,Attilio Tesser,3,11,0 (0),0 (0),23,8,14,3,9,5,8,21,1,0,5,2,1,0,11,2,1,2,0,0,0,0,1.22,6,13
2011-12,16,PARMA,LECCE,18/12/2011,ENNIO TARDINI - PARMA,15:00,GABRIELE GAVA,3,3,D,1,0,H,2,3,A,0,1,0,0,0,2,0,0,0,1,1,1,Franco Colomba,Serse Cosmi,1,1,1 (1),0 (0),7,8,4,4,3,4,12,22,0,0,2,1,0,1,4,2,4,3,0,0,0,0,1.67,3.6,5.5
2011-12,16,LAZIO,UDINESE,18/12/2011,OLIMPICO - ROMA,20:45,PAOLO SILVIO MAZZOLENI,2,2,D,1,1,D,1,1,D,0,0,1,1,0,0,0,1,0,0,1,0,Edoardo Reja,Francesco Guidolin,1,5,0 (0),0 (0),10,4,7,3,3,1,16,11,0,0,3,2,1,5,5,2,2,2,0,0,0,0,2.2,3.2,3.4
2011-12,16,NAPOLI,ROMA,18/12/2011,SAN PAOLO - NAPOLI,20:45,DOMENICO CELI,1,3,A,0,1,A,1,2,A,0,0,0,0,0,1,1,0,0,1,0,1,Walter Mazzarri,Luis Enrique,3,6,0 (0),0 (0),14,13,8,6,6,7,7,13,1,1,1,1,9,4,11,2,0,2,0,0,0,0,1.83,3.4,4.5
2011-12,17,ROBUR SIENA,LAZIO,07/01/2012,ARTEMIO FRANCHI - SIENA,18:00,ANDREA GERVASONI,4,0,H,3,0,H,1,0,H,1,0,2,0,0,1,0,0,0,0,0,0,Giuseppe Sannino,Edoardo Reja,3,3,2 (2),0 (0),14,8,7,3,7,5,13,8,0,0,1,2,3,1,1,7,3,1,0,0,0,1,3.25,3.1,2.3
2011-12,17,INTER,PARMA,07/01/2012,GIUSEPPE MEAZZA - MILANO,20:45,ANTONIO DANILO GIANNOCCARO,5,0,H,3,0,H,2,0,H,1,1,1,1,0,1,0,0,0,0,0,0,Claudio Ranieri,Franco Colomba,2,2,0 (0),0 (0),10,10,7,2,3,8,11,12,0,0,3,1,2,3,4,5,1,1,0,0,0,0,1.4,4.33,8.5
2011-12,17,UDINESE,CESENA,08/01/2012,DACIA ARENA - STADIO FRIULI - UDINE,12:30,GABRIELE GAVA,4,1,H,1,1,D,3,0,H,1,0,0,1,1,1,0,0,1,0,0,0,Francesco Guidolin,Daniele Arrigoni,1,4,0 (0),0 (0),22,9,9,3,13,6,11,12,1,1,0,1,4,0,10,2,1,1,0,1,0,0,1.44,3.8,9
2011-12,17,ATALANTA,MILAN,08/01/2012,GEWISS STADIUM - BERGAMO,15:00,NICOLA RIZZOLI,0,2,A,0,1,A,0,1,A,0,0,0,0,0,0,0,1,0,0,0,1,Stefano Colantuono,Massimiliano Allegri,3,2,0 (0),1 (1),6,9,3,6,3,3,18,20,1,1,0,1,0,2,6,6,4,2,0,0,0,0,5.5,3.25,1.73
2011-12,17,BOLOGNA,CATANIA,08/01/2012,RENATO DALL'ARA - BOLOGNA,15:00,ANDREA ROMEO,2,0,H,0,0,D,2,0,H,0,0,0,1,0,1,0,0,0,0,0,0,Stefano Pioli,Vincenzo Montella,2,3,0 (0),0 (0),10,6,5,2,5,4,11,24,0,0,2,0,2,0,2,1,3,4,0,1,0,0,2.3,3.2,3.2
2011-12,17,CAGLIARI,GENOA,08/01/2012,SANT'ELIA - CAGLIARI,15:00,DOMENICO CELI,3,0,H,1,0,H,2,0,H,1,0,0,1,1,0,0,0,0,0,0,0,Davide Ballardini,Pasquale Marino,2,6,1 (1),0 (0),18,7,9,2,9,5,17,14,1,0,4,1,1,1,7,1,2,3,0,0,0,1,2.25,3.1,3.4
2011-12,17,LECCE,JUVENTUS,08/01/2012,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,15:00,MAURO BERGONZI,0,1,A,0,1,A,0,0,D,0,0,0,0,0,0,0,1,0,0,0,0,Serse Cosmi,Antonio Conte,7,3,0 (0),0 (0),9,15,3,8,6,7,18,14,0,0,1,5,2,4,2,7,3,2,0,0,0,0,7.5,3.8,1.5
2011-12,17,NOVARA,FIORENTINA,08/01/2012,SILVIO PIOLA - NOVARA,15:00,ANTONIO DAMATO,0,3,A,0,2,A,0,1,A,0,0,0,0,0,0,0,1,1,1,0,0,Attilio Tesser,Delio Rossi,1,0,0 (0),1 (1),7,12,0,4,7,8,20,15,0,0,0,1,5,1,12,1,1,2,0,0,0,0,2.9,3.1,2.5
2011-12,17,ROMA,CHIEVOVERONA,08/01/2012,OLIMPICO - ROMA,15:00,CARMINE RUSSO,2,0,H,1,0,H,1,0,H,0,0,1,0,0,1,0,0,0,0,0,0,Luis Enrique,Domenico Di Carlo,2,6,2 (2),0 (0),12,7,8,2,4,5,17,17,0,0,2,2,4,3,8,5,3,2,0,0,0,0,1.62,3.6,6
2011-12,17,PALERMO,NAPOLI,08/01/2012,RENZO BARBERA - PALERMO,20:45,PAOLO SILVIO MAZZOLENI,1,3,A,0,1,A,1,2,A,0,0,0,0,0,1,0,0,1,2,0,0,Bortolo Mutti,Walter Mazzarri,4,2,0 (0),0 (0),8,13,3,8,5,5,5,10,0,1,6,2,2,2,4,3,0,0,0,0,0,0,3,3.25,2.38
2011-12,18,LAZIO,ATALANTA,15/01/2012,OLIMPICO - ROMA,12:30,LUCA BANTI,2,0,H,1,0,H,1,0,H,0,1,0,0,0,1,0,0,0,0,0,0,Edoardo Reja,Stefano Colantuono,1,2,1 (1),0 (0),6,1,4,1,2,0,24,14,0,0,2,0,1,2,5,3,2,1,0,1,0,0,1.8,3.4,4.75
2011-12,18,CESENA,NOVARA,15/01/2012,OROGEL STADIUM - CESENA,15:00,PAOLO VALERI,3,1,H,3,0,H,0,1,A,0,1,2,0,0,0,0,0,0,0,0,1,Daniele Arrigoni,Attilio Tesser,5,6,2 (1),0 (0),17,11,8,6,9,5,18,19,0,0,6,4,1,6,7,7,2,4,0,0,0,0,2,3.2,4
2011-12,18,CHIEVOVERONA,PALERMO,15/01/2012,MARCANTONIO BENTEGODI - VERONA,15:00,GIANLUCA ROCCHI,1,0,H,0,0,D,1,0,H,0,0,0,1,0,0,0,0,0,0,0,0,Domenico Di Carlo,Bortolo Mutti,1,2,0 (0),0 (0),9,4,3,1,6,3,16,22,0,0,0,0,3,1,4,6,2,2,0,0,0,0,2.1,3,3.9
2011-12,18,FIORENTINA,LECCE,15/01/2012,ARTEMIO FRANCHI - FIRENZE,15:00,GIANPAOLO CALVARESE,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,1,0,Delio Rossi,Serse Cosmi,2,6,0 (0),1 (1),14,3,6,3,8,0,8,17,0,0,1,1,3,5,3,5,3,2,0,0,0,0,1.4,4.5,8
2011-12,18,GENOA,UDINESE,15/01/2012,LUIGI FERRARIS - GENOVA,15:00,DANIELE DOVERI,3,2,H,0,1,A,3,1,H,0,0,0,2,1,0,1,0,0,0,1,0,Pasquale Marino,Francesco Guidolin,7,9,0 (0),1 (1),16,13,12,9,4,4,12,12,0,0,2,1,2,8,5,3,1,2,0,0,1,0,2.9,3.1,2.5
2011-12,18,JUVENTUS,CAGLIARI,15/01/2012,ALLIANZ STADIUM - TORINO,15:00,MARCO GUIDA,1,1,D,1,0,H,0,1,A,1,0,0,0,0,0,0,0,0,1,0,0,Antonio Conte,Davide Ballardini,0,1,0 (0),0 (0),9,3,4,1,5,2,11,15,0,0,2,0,2,1,7,4,2,2,0,0,0,0,1.3,4.5,13
2011-12,18,PARMA,ROBUR SIENA,15/01/2012,ENNIO TARDINI - PARMA,15:00,SEBASTIANO PERUZZO,3,1,H,1,0,H,2,1,H,0,1,0,0,1,1,0,0,0,0,0,1,Roberto Donadoni,Giuseppe Sannino,3,2,0 (0),0 (0),7,7,5,4,2,3,14,10,0,0,2,0,0,4,1,5,3,2,0,0,0,0,2.2,3,3.6
2011-12,18,MILAN,INTER,15/01/2012,GIUSEPPE MEAZZA - MILANO,20:45,DANIELE ORSATO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Massimiliano Allegri,Claudio Ranieri,4,4,0 (0),0 (0),12,9,5,5,7,4,16,10,1,0,0,0,2,1,10,2,3,1,0,0,0,0,2.1,3.25,3.6
2011-12,18,NAPOLI,BOLOGNA,16/01/2012,SAN PAOLO - NAPOLI,20:45,CHRISTIAN BRIGHI,1,1,D,0,1,A,1,0,H,0,0,0,0,1,0,1,0,0,0,0,0,Walter Mazzarri,Stefano Pioli,3,5,1 (1),0 (0),9,6,6,4,3,2,11,11,0,0,0,1,2,4,9,1,1,4,0,0,0,0,1.33,5,9
2011-12,18,CATANIA,ROMA,08/02/2012,ANGELO MASSIMINO - CATANIA,20:00,PAOLO TAGLIAVENTO,1,1,D,1,1,D,0,0,D,0,1,0,0,0,0,0,1,0,0,0,0,Vincenzo Montella,Luis Enrique,2,3,0 (0),0 (0),11,3,4,3,7,0,12,9,0,0,0,0,3,1,4,3,5,4,0,0,0,0,3.25,3.2,2.25
2011-12,19,ROMA,CESENA,21/01/2012,OLIMPICO - ROMA,18:00,ANTONIO DANILO GIANNOCCARO,5,1,H,3,0,H,2,1,H,3,0,0,0,2,0,0,0,0,1,0,0,Luis Enrique,Daniele Arrigoni,3,5,0 (0),0 (0),13,4,10,4,3,0,8,6,0,0,4,1,7,3,9,3,0,1,0,0,0,0,1.4,4.2,9
2011-12,19,ATALANTA,JUVENTUS,21/01/2012,GEWISS STADIUM - BERGAMO,20:45,DOMENICO CELI,0,2,A,0,0,D,0,2,A,0,0,0,0,0,0,0,0,0,1,0,1,Stefano Colantuono,Antonio Conte,5,6,0 (0),0 (0),8,19,6,10,2,9,15,9,0,2,0,2,2,1,6,7,2,1,0,0,0,0,4.33,3.25,1.91
2011-12,19,BOLOGNA,PARMA,22/01/2012,RENATO DALL'ARA - BOLOGNA,12:30,MAURO BERGONZI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Stefano Pioli,Roberto Donadoni,4,2,0 (0),0 (0),9,7,2,4,7,3,12,23,0,0,3,1,3,0,5,4,1,4,0,0,0,0,2.5,3,3
2011-12,19,CAGLIARI,FIORENTINA,22/01/2012,SANT'ELIA - CAGLIARI,15:00,ANDREA GERVASONI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Davide Ballardini,Delio Rossi,3,3,0 (0),0 (0),9,5,3,3,6,2,15,16,0,0,2,0,2,1,5,2,3,5,0,0,0,0,2.38,3.1,3.1
2011-12,19,LECCE,CHIEVOVERONA,22/01/2012,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,15:00,PAOLO SILVIO MAZZOLENI,2,2,D,1,2,A,1,0,H,0,1,0,0,0,1,1,1,0,0,0,0,Serse Cosmi,Domenico Di Carlo,2,5,0 (0),0 (0),14,8,8,4,6,4,13,18,1,0,4,1,2,5,6,3,3,2,0,0,0,0,2.4,3.2,3
2011-12,19,NOVARA,MILAN,22/01/2012,SILVIO PIOLA - NOVARA,15:00,ANDREA DE MARCO,0,3,A,0,0,D,0,3,A,0,0,0,0,0,0,0,0,0,1,1,1,Attilio Tesser,Massimiliano Allegri,6,2,0 (0),0 (0),7,17,2,9,5,8,13,13,0,0,0,4,5,4,6,5,4,1,0,0,0,0,8.5,4.33,1.4
2011-12,19,PALERMO,GENOA,22/01/2012,RENZO BARBERA - PALERMO,15:00,ANDREA ROMEO,5,3,H,3,1,H,2,2,D,0,1,2,0,1,1,1,0,0,1,0,1,Bortolo Mutti,Pasquale Marino,2,5,0 (0),1 (1),17,10,11,5,6,5,16,19,1,0,4,1,5,7,9,6,2,2,0,0,0,0,2.05,3.25,3.75
2011-12,19,ROBUR SIENA,NAPOLI,22/01/2012,ARTEMIO FRANCHI - SIENA,15:00,ANTONIO DAMATO,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,0,0,1,Giuseppe Sannino,Walter Mazzarri,6,0,0 (0),1 (0),5,12,2,8,3,4,21,12,1,0,1,2,4,1,6,10,4,2,0,0,0,0,3.5,3.3,2.1
2011-12,19,UDINESE,CATANIA,22/01/2012,DACIA ARENA - STADIO FRIULI - UDINE,15:00,EMILIO OSTINELLI,2,1,H,1,0,H,1,1,D,0,1,0,1,0,0,0,0,0,0,0,1,Francesco Guidolin,Vincenzo Montella,4,5,0 (0),1 (1),12,11,7,5,5,6,18,10,0,0,0,1,4,2,1,5,1,2,0,0,0,0,1.62,3.6,6
2011-12,19,INTER,LAZIO,22/01/2012,GIUSEPPE MEAZZA - MILANO,20:45,NICOLA RIZZOLI,2,1,H,1,1,D,1,0,H,0,0,1,0,1,0,0,1,0,0,0,0,Claudio Ranieri,Edoardo Reja,1,2,0 (0),0 (0),8,7,4,3,4,4,14,16,0,1,2,2,4,4,5,5,0,1,0,0,0,0,1.62,3.6,6
2011-12,20,CATANIA,PARMA,28/01/2012,ANGELO MASSIMINO - CATANIA,18:00,DANIELE DOVERI,1,1,D,1,1,D,0,0,D,0,0,1,0,0,0,0,0,1,0,0,0,Vincenzo Montella,Roberto Donadoni,1,4,0 (0),0 (0),10,7,5,3,5,4,10,15,0,1,2,1,1,4,6,2,1,1,0,0,0,0,2.1,3.25,3.6
2011-12,20,JUVENTUS,UDINESE,28/01/2012,ALLIANZ STADIUM - TORINO,20:45,PAOLO VALERI,2,1,H,1,0,H,1,1,D,0,0,1,0,1,0,0,0,0,1,0,0,Antonio Conte,Francesco Guidolin,2,5,0 (0),0 (0),14,5,7,3,7,2,7,21,0,0,1,1,2,1,4,6,2,5,0,0,0,0,1.62,3.75,5.5
2011-12,20,FIORENTINA,ROBUR SIENA,29/01/2012,ARTEMIO FRANCHI - FIRENZE,12:30,MAURO BERGONZI,2,1,H,1,0,H,1,1,D,1,0,0,0,1,0,0,0,0,0,0,1,Delio Rossi,Giuseppe Sannino,2,6,0 (0),1 (1),11,3,8,3,3,0,13,18,0,0,3,1,3,4,3,2,1,2,0,0,0,0,1.83,3.25,4.75
2011-12,20,CESENA,ATALANTA,29/01/2012,OROGEL STADIUM - CESENA,15:00,PAOLO TAGLIAVENTO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,0,0,1,Daniele Arrigoni,Stefano Colantuono,5,5,0 (0),0 (0),8,10,5,5,3,5,23,16,0,0,0,2,1,7,11,11,3,3,0,1,0,0,2.6,3.1,2.8
2011-12,20,CHIEVOVERONA,LAZIO,29/01/2012,MARCANTONIO BENTEGODI - VERONA,15:00,DANIELE ORSATO,0,3,A,0,1,A,0,2,A,0,0,0,0,0,0,0,1,0,0,0,2,Domenico Di Carlo,Edoardo Reja,4,4,0 (0),0 (0),10,13,4,8,6,5,12,24,0,1,0,1,3,2,6,3,0,4,0,0,0,0,2.88,3.2,2.5
2011-12,20,GENOA,NAPOLI,29/01/2012,LUIGI FERRARIS - GENOVA,15:00,GIANLUCA ROCCHI,3,2,H,2,0,H,1,2,A,0,0,2,0,1,0,0,0,0,0,0,2,Pasquale Marino,Walter Mazzarri,3,1,0 (0),0 (0),9,8,4,5,5,3,14,17,0,0,2,2,2,1,5,6,4,3,0,0,0,0,3.2,3.25,2.25
2011-12,20,LECCE,INTER,29/01/2012,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,15:00,LUCA BANTI,1,0,H,1,0,H,0,0,D,0,0,1,0,0,0,0,0,0,0,0,0,Serse Cosmi,Claudio Ranieri,8,2,0 (0),0 (0),5,15,3,9,2,6,14,5,0,1,0,2,4,6,5,7,3,0,0,0,0,0,6,3.6,1.62
2011-12,20,PALERMO,NOVARA,29/01/2012,RENZO BARBERA - PALERMO,15:00,SEBASTIANO PERUZZO,2,0,H,1,0,H,1,0,H,0,0,1,0,1,0,0,0,0,0,0,0,Bortolo Mutti,Attilio Tesser,2,5,0 (0),0 (0),11,6,8,2,3,4,17,12,1,0,2,0,3,7,2,9,4,1,0,0,0,0,1.53,3.75,7
2011-12,20,ROMA,BOLOGNA,29/01/2012,OLIMPICO - ROMA,15:00,MARCO GUIDA,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,1,0,0,Luis Enrique,Stefano Pioli,3,6,0 (0),0 (0),15,6,7,4,8,2,10,12,0,0,2,0,0,3,7,3,1,2,0,0,0,0,1.4,4.2,9
2011-12,20,MILAN,CAGLIARI,29/01/2012,GIUSEPPE MEAZZA - MILANO,20:45,CHRISTIAN BRIGHI,3,0,H,2,0,H,1,0,H,0,0,2,0,1,0,0,0,0,0,0,0,Massimiliano Allegri,Davide Ballardini,1,4,0 (0),0 (0),11,5,7,1,4,4,12,16,0,0,3,0,5,2,4,6,2,0,0,0,0,0,1.3,5,10
2011-12,21,CAGLIARI,ROMA,01/02/2012,SANT'ELIA - CAGLIARI,20:45,ANDREA ROMEO,4,2,H,2,2,D,2,0,H,1,0,1,1,0,1,1,0,1,0,0,0,Davide Ballardini,Luis Enrique,4,1,0 (0),0 (0),10,12,5,6,5,6,6,11,0,0,3,3,8,2,4,7,3,3,0,0,0,0,2.88,3.2,2.5
2011-12,21,INTER,PALERMO,01/02/2012,GIUSEPPE MEAZZA - MILANO,20:45,MARCO GUIDA,4,4,D,1,1,D,3,3,D,0,1,0,1,2,0,0,1,0,1,1,1,Claudio Ranieri,Bortolo Mutti,1,0,1 (1),0 (0),9,6,4,5,5,1,7,16,0,0,2,4,5,4,4,6,1,1,0,0,0,0,1.44,4.2,7.5
2011-12,21,LAZIO,MILAN,01/02/2012,OLIMPICO - ROMA,20:45,ANTONIO DAMATO,2,0,H,0,0,D,2,0,H,0,0,0,0,0,2,0,0,0,0,0,0,Edoardo Reja,Massimiliano Allegri,1,1,0 (0),0 (0),6,5,3,1,3,4,8,10,0,0,1,2,4,5,6,9,2,1,0,0,0,0,3.2,3.2,2.3
2011-12,21,NAPOLI,CESENA,01/02/2012,SAN PAOLO - NAPOLI,20:45,LUCA BANTI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Walter Mazzarri,Daniele Arrigoni,2,10,0 (0),0 (0),15,6,11,2,4,4,12,16,1,0,0,0,4,2,9,2,5,4,0,0,0,0,1.29,5,11
