Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_off_T1,Atp_off_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,bet365_home_win,bet365_draw,bet365_away_win
2011-12,5,ROBUR SIENA,LECCE,25/09/2011,ARTEMIO FRANCHI - SIENA,15:00,DANIELE DOVERI,3,0,H,1,0,H,2,0,H,1,0,0,1,1,0,0,0,0,0,0,0,Giuseppe Sannino,Eusebio Di Francesco,4,1,0 (0),0 (0),7,8,5,4,2,4,13,10,1,0,1,0,1,0,1,2,2,1,0,1,0,0,1.91,3.25,4.33
2011-12,5,PARMA,ROMA,25/09/2011,ENNIO TARDINI - PARMA,20:45,DANIELE ORSATO,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Franco Colomba,Luis Enrique,1,4,0 (0),0 (0),10,15,4,3,6,12,12,15,0,1,1,1,2,1,7,5,2,3,0,0,0,0,3,3.2,2.38
2011-12,6,ROMA,ATALANTA,01/10/2011,OLIMPICO - ROMA,18:00,DOMENICO CELI,3,1,H,2,0,H,1,1,D,0,1,1,0,0,1,0,0,0,1,0,0,Luis Enrique,Stefano Colantuono,2,3,0 (0),0 (0),13,6,6,3,7,3,8,9,0,0,2,0,1,1,5,10,1,3,0,0,0,0,1.7,3.6,5
2011-12,6,INTER,NAPOLI,01/10/2011,GIUSEPPE MEAZZA - MILANO,20:45,GIANLUCA ROCCHI,0,3,A,0,1,A,0,2,A,0,0,0,0,0,0,0,0,1,1,1,0,Claudio Ranieri,Walter Mazzarri,1,2,0 (0),1 (0),7,11,2,4,5,7,17,8,0,0,0,2,3,1,2,6,3,2,1,0,0,0,2,3.3,3.75
2011-12,6,NOVARA,CATANIA,02/10/2011,SILVIO PIOLA - NOVARA,12:30,CHRISTIAN BRIGHI,3,3,D,0,1,A,3,2,H,0,0,0,1,1,1,1,0,0,1,0,1,Attilio Tesser,Vincenzo Montella,4,4,1 (1),0 (0),11,14,7,9,4,5,20,28,0,0,3,1,1,2,8,4,5,1,0,0,0,0,2.3,3.2,3.1
2011-12,6,CESENA,CHIEVOVERONA,02/10/2011,OROGEL STADIUM - CESENA,15:00,LUCA BANTI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Marco Giampaolo,Domenico Di Carlo,2,4,1 (0),0 (0),11,6,4,1,7,5,13,14,0,0,4,1,2,3,3,2,5,3,0,0,0,0,2.4,3.1,3.1
2011-12,6,FIORENTINA,LAZIO,02/10/2011,ARTEMIO FRANCHI - FIRENZE,15:00,MAURO BERGONZI,1,2,A,1,1,D,0,1,A,1,0,0,0,0,0,0,1,0,0,0,1,Sinisa Mihajlovic,Edoardo Reja,4,9,0 (0),0 (0),13,10,9,6,4,4,8,9,0,0,2,1,4,1,6,2,3,1,0,0,0,0,2,3.4,3.75
2011-12,6,LECCE,CAGLIARI,02/10/2011,ETTORE GIARDINIERO - VIA DEL MARE - LECCE,15:00,MARCO GUIDA,0,2,A,0,2,A,0,0,D,0,0,0,0,0,0,1,0,1,0,0,0,Eusebio Di Francesco,Massimo Ficcadenti,1,5,0 (0),0 (0),9,8,5,3,4,5,24,18,0,0,3,1,5,3,4,6,6,2,0,0,0,0,2.63,3.1,2.75
2011-12,6,PALERMO,ROBUR SIENA,02/10/2011,RENZO BARBERA - PALERMO,15:00,ANDREA ROMEO,2,0,H,1,0,H,1,0,H,0,1,0,0,0,1,0,0,0,0,0,0,Devis Mangia,Giuseppe Sannino,1,5,1 (1),0 (0),11,4,7,1,4,3,14,23,0,0,0,1,1,2,9,1,3,4,1,0,0,0,1.91,3.4,4
2011-12,6,PARMA,GENOA,02/10/2011,ENNIO TARDINI - PARMA,15:00,ANTONIO DAMATO,3,1,H,2,0,H,1,1,D,0,1,1,1,0,0,0,0,0,0,0,1,Franco Colomba,Alberto Malesani,6,5,1 (1),1 (1),14,13,9,8,5,5,19,14,1,1,0,1,1,2,3,5,1,1,0,0,0,0,2.45,3.1,3
2011-12,6,UDINESE,BOLOGNA,02/10/2011,DACIA ARENA - STADIO FRIULI - UDINE,15:00,SEBASTIANO PERUZZO,2,0,H,1,0,H,1,0,H,0,1,0,0,1,0,0,0,0,0,0,0,Francesco Guidolin,Pierpaolo Bisoli,2,8,1 (1),0 (0),19,8,11,2,8,6,22,18,1,0,2,0,3,2,4,3,1,3,0,0,0,0,1.57,3.8,6
2011-12,6,JUVENTUS,MILAN,02/10/2011,ALLIANZ STADIUM - TORINO,20:45,NICOLA RIZZOLI,2,0,H,0,0,D,2,0,H,0,0,0,0,0,2,0,0,0,0,0,0,Antonio Conte,Massimiliano Allegri,1,5,0 (0),0 (0),17,2,8,1,9,1,13,14,1,0,2,1,2,1,5,5,1,1,0,1,0,0,2.38,3.2,3
2011-12,7,CATANIA,INTER,15/10/2011,ANGELO MASSIMINO - CATANIA,18:00,DANIELE ORSATO,2,1,H,0,1,A,2,0,H,0,0,0,2,0,0,1,0,0,0,0,0,Vincenzo Montella,Claudio Ranieri,1,3,1 (1),0 (0),9,4,5,2,4,2,14,12,0,0,1,1,7,4,6,5,3,2,0,0,0,0,3.6,3.25,2.1
2011-12,7,MILAN,PALERMO,15/10/2011,GIUSEPPE MEAZZA - MILANO,20:45,PAOLO VALERI,3,0,H,1,0,H,2,0,H,0,0,1,1,1,0,0,0,0,0,0,0,Massimiliano Allegri,Devis Mangia,0,7,0 (0),0 (0),13,4,10,0,3,4,11,12,0,0,6,0,7,1,10,4,2,1,0,0,0,0,1.44,4.2,7.5
2011-12,7,NAPOLI,PARMA,15/10/2011,SAN PAOLO - NAPOLI,20:45,PAOLO SILVIO MAZZOLENI,1,2,A,0,0,D,1,2,A,0,0,0,0,0,1,0,0,0,1,0,1,Walter Mazzarri,Franco Colomba,3,4,0 (0),0 (0),12,5,6,5,6,0,10,15,1,0,1,2,2,3,8,0,1,1,0,0,0,0,1.5,3.75,7.5
2011-12,7,CESENA,FIORENTINA,16/10/2011,OROGEL STADIUM - CESENA,12:30,CARMINE RUSSO,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Marco Giampaolo,Sinisa Mihajlovic,5,5,0 (0),0 (0),15,11,6,5,9,6,10,7,2,0,0,1,2,4,9,5,2,4,0,0,1,0,3,3.2,2.4
