Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,Add_Referee_1,Add_Referee_2,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,Atp_off_sp_T1,Atp_off_sp_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Lst_Bls_T1,Lst_Bls_T2,Rcv_Bls_T1,Rcv_Bls_T2,Fst_Brk_T1,Fst_Brk_T2,Lng_Bls_T1,Lng_Bls_T2,Prs_Act_T1,Prs_Act_T2,Wrg_Pss_T1,Wrg_Pss_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,Rcv_Bls_Dfc_r_T1,Rcv_Bls_Dfc_l_T1,Rcv_Bls_Mdl_r_T1,Rcv_Bls_Mdl_l_T1,Rcv_Bls_Atk_r_T1,Rcv_Bls_Atk_l_T1,Rcv_Bls_Dfc_r_T2,Rcv_Bls_Dfc_l_T2,Rcv_Bls_Mdl_r_T2,Rcv_Bls_Mdl_l_T2,Rcv_Bls_Atk_r_T2,Rcv_Bls_Atk_l_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2016-2017,10,JUVENTUS,SAMPDORIA,26/10/2016,STADIUM JUVENTUS STADIUM,20:45,CARMINE  RUSSO,FABIANO  PRETI,ANDREA  MARZALONI,GIULIO  DOBOSZ,DANIELE  DOVERI,GIANLUCA AURELIANO,4,1,H,MASSIMILIANO ALLEGRI,MARCO GIAMPAOLO,4-3-3,4-3-1-2,96'02,52'57,55%,33'22 (63%),19'56 (60%),13'26 (40%),19'35 (37%),10'40 (54%),8'55 (46%),4'49,6'00,5'57,6'07,5'07,5'22,1'59,3'00,4'31,3'38,3'33,2'54,15,7,9(4),4(1),0,0,2,0,8,3,0,0,1,0,0,0,3,4,11,3,7,2,6,1,5,2,6,16,34,27,15,22,2,9,19,18,0,1,39,29,25,11,0,1,0 (0),0 (0),109.153,31.052,70.33,7.771,113.624,28.121,77.411,8.092,6.5,6.8,10 (26%),16 (41%),13 (33%),5 (25%),8 (40%),7 (35%),0/1,2/2,4/5,3/3,3/5,0/1,0/0,2/2,0/3,0/2,1/1,1/2,4,4,2,3,1,1,6,1,8,5,0,2,JUAN CUADRADO,7,PATRICK SCHICK,14,1.17,7.5,17
2016-2017,10,LAZIO,CAGLIARI,26/10/2016,STADIUM OLIMPICO,20:45,DOMENICO  CELI,MAURO  TONOLINI,PASQUALE  DE MEO,RODOLFO  DI VUOLO,NICOLA  RIZZOLI,JUAN LUCA SACCHI,4,1,H,SIMONE INZAGHI,MASSIMO RASTELLI,4-3-3,4-3-1-2,94'07,45'28,48%,25'13 (55%),13'48 (55%),11'25 (45%),20'15 (45%),12'36 (62%),7'39 (38%),5'01,2'37,5'21,5'08,3'33,3'33,3'21,3'48,2'52,3'43,3'33,2'58,13,12,11(4),5(0),2,0,0,1,9,2,0,0,0,0,0,1,5,7,13,11,3,1,0,2,3,10,6,4,21,27,27,23,6,8,19,17,3,4,23,30,19,14,2,0,1 (1),1 (0),100.287,26.104,65.457,8.726,100.62,26.024,66.065,8.531,6.7,6.7,6 (17%),23 (66%),6 (17%),10 (30%),17 (52%),6 (18%),0/2,0/1,1/3,1/2,1/1,1/1,0/1,0/1,1/7,2/4,0/0,0/0,4,8,8,4,2,1,3,5,5,10,0,0,CIRO IMMOBILE,17,PANAGIOTIS TACHTSIDIS,77,1.44,4.5,7.5
2016-2017,10,NAPOLI,EMPOLI,26/10/2016,STADIUM SAN PAOLO,20:45,MAURIZIO  MARIANI,GIACOMO  PAGANESSI,GIANMATTIA  TASSO,FABRIZIO  POSADO,GIANPAOLO  CALVARESE,ALEANDRO DI PAOLO,2,0,H,MAURIZIO SARRI,GIOVANNI MARTUSCIELLO,4-3-3,4-3-1-2,94'01,47'58,51%,31'15 (65%),12'20 (39%),18'55 (61%),16'43 (35%),11'13 (67%),5'30 (33%),7'08,4'20,5'27,5'54,3'24,5'02,3'09,1'01,1'13,2'50,5'26,3'04,23,6,12(2),3(0),0,0,1,0,7,3,0,0,0,0,1,0,2,9,10,3,7,1,2,1,11,8,6,9,25,31,26,16,4,4,9,19,2,4,24,24,43,18,3,0,0 (0),0 (0),106.857,27.252,70.162,9.443,106.681,26.363,72.044,8.274,6.7,6.5,10 (36%),10 (35%),8 (29%),6 (50%),3 (25%),3 (25%),3/3,2/4,3/7,1/3,3/4,1/2,2/5,2/4,3/4,0/1,0/0,0/0,3,0,13,9,0,1,8,1,2,5,0,0,DRIES MERTENS,14,FEDERICO DIMARCO,4,1.29,5.5,11
2016-2017,10,PESCARA,ATALANTA,26/10/2016,STADIUM ADRIATICO - GIOVANNI CORNACCHIA,20:45,MARCO  GUIDA,DAMIANO  DI IORIO,CLAUDIO  LA ROCCA,CIRO  CARBONE,PAOLO  VALERI,FEDERICO LA PENNA,0,1,A,MASSIMO ODDO,GIAN PIERO GASPERINI,4-3-2-1,3-4-1-2,95'55,55'39,58%,27'20 (49%),16'12 (59%),11'08 (41%),28'19 (51%),16'40 (59%),11'39 (41%),4'58,3'57,3'37,3'56,4'58,5'54,4'23,3'37,6'01,5'50,4'29,3'59,1,8,0(0),4(1),0,0,0,1,0,3,0,0,0,1,0,0,0,2,0,3,0,3,3,0,2,8,17,18,19,23,20,24,0,0,10,8,0,0,16,12,19,22,0,0,0 (0),0 (0),104.523,25.72,70.871,7.932,103.095,25.292,69.962,7.841,6.8,6.9,5 (45%),2 (19%),4 (36%),5 (21%),4 (16%),15 (63%),0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,1/1,3/6,0/0,0/0,5,2,6,7,0,0,5,4,6,9,0,0,GIANLUCA CAPRARI,17,MATTIA CALDARA,13,2.9,3.25,2.5
2016-2017,10,SASSUOLO,ROMA,26/10/2016,STADIUM MAPEI STADIUM,20:45,ANTONIO  DAMATO,LORENZO  MANGANELLI,SERGIO  RANGHETTI,ALESSANDRO  LO CICERO,MARCO  DI BELLO,LUIGI NASCA,1,3,A,EUSEBIO DI FRANCESCO,LUCIANO SPALLETTI,4-3-3,4-2-3-1,96'51,50'10,52%,20'47 (41%),8'12 (39%),12'35 (61%),29'23 (59%),15'29 (53%),13'54 (47%),2'43,5'17,3'51,2'42,1'23,4'51,3'23,5'34,6'02,5'55,4'05,4'24,9,15,3(1),10(3),0,1,0,0,2,9,0,0,0,0,0,1,3,2,7,16,2,2,0,3,5,11,10,10,35,48,19,18,3,5,15,11,0,0,30,44,21,31,1,1,0 (0),1 (1),102.923,27.113,67.059,8.751,102.515,28.798,65.874,7.843,6.5,6.6,7 (24%),17 (59%),5 (17%),5 (14%),24 (67%),7 (19%),0/0,0/0,1/5,1/3,0/0,0/0,2/2,0/0,2/5,1/4,0/0,0/0,8,5,2,1,2,1,4,5,5,2,0,2,PAOLO CANNAVARO,28,EDIN DZEKO,9,4.2,3.5,1.91
2016-2017,10,PALERMO,UDINESE,27/10/2016,STADIUM RENZO BARBERA,20:45,DANIELE  ORSATO,ANDREA  CRISPO,ORESTE  MUTO,STEFANO  DEL GIOVANE,PIERO  GIACOMELLI,RICCARDO ROS,1,3,A,ROBERTO DE ZERBI,LUIGI DELNERI,4-2-3-1,4-3-3,94'13,50'24,53%,30'17 (60%),17'35 (58%),12'42 (42%),20'07 (40%),10'18 (51%),9'49 (49%),3'39,3'58,5'11,4'54,5'20,7'15,3'57,3'05,2'44,2'16,3'20,4'45,6,9,2(1),8(3),0,0,0,0,2,3,0,0,0,1,0,0,4,1,4,7,2,4,1,0,3,4,14,14,50,49,30,37,6,9,12,24,1,5,28,30,23,18,1,1,0 (0),0 (0),106.764,25.486,73.237,8.041,106.914,26.812,72.853,7.249,7,7,5 (36%),3 (21%),6 (43%),8 (42%),8 (42%),3 (16%),1/1,2/2,0/2,2/2,0/0,0/0,1/1,2/2,1/3,1/2,0/0,0/0,7,7,9,7,0,0,9,4,14,8,2,0,ILIJA NESTOROVSKI,30,SEKO FOFANA,6,2.9,3.25,2.5
2016-2017,11,BOLOGNA,FIORENTINA,29/10/2016,STADIUM RENATO DALL'ARA,18:00,PAOLO  VALERI,ELENITO  DI LIBERATORE,CIRO  CARBONE,GIANLUCA  CARIOLATO,DAVIDE  MASSA,ALEANDRO DI PAOLO,0,1,A,ROBERTO DONADONI,PAULO SOUSA,4-3-3,3-4-2-1,96'05,52'29,55%,21'10 (40%),14'49 (70%),6'21 (30%),31'19 (60%),16'39 (53%),14'40 (47%),4'00,3'27,2'51,2'15,4'34,4'03,5'08,2'55,6'35,5'08,6'07,5'26,4,10,1(0),7(1),0,2,0,0,0,3,0,0,1,1,0,0,6,1,5,10,1,5,4,6,2,5,7,16,39,51,31,23,5,5,15,9,1,3,26,29,15,29,0,1,0 (0),1 (1),107.913,25.318,74.021,8.574,110.455,27.991,74.883,7.581,7,6.8,5 (45%),3 (28%),3 (27%),6 (26%),13 (57%),4 (17%),0/1,0/0,1/1,1/2,0/0,0/0,0/0,0/0,3/5,1/2,0/0,0/0,7,6,8,10,0,0,6,2,8,7,0,0,SAPHIR TAIDER,8,NIKOLA KALINIC,9,3.25,3.25,2.3
2016-2017,11,JUVENTUS,NAPOLI,29/10/2016,STADIUM JUVENTUS STADIUM,20:45,GIANLUCA  ROCCHI,FILIPPO  MELI,ALESSANDRO  COSTANZO,MAURO  TONOLINI,DANIELE  ORSATO,ANTONIO DAMATO,2,1,H,MASSIMILIANO ALLEGRI,MAURIZIO SARRI,3-5-2,4-3-3,97'07,53'43,55%,30'28 (57%),21'30 (71%),8'58 (29%),23'15 (43%),13'10 (57%),10'05 (43%),5'53,4'28,4'08,6'00,4'13,5'46,3'53,4'28,3'31,3'45,3'57,3'41,7,10,4(2),4(1),0,0,0,0,3,2,0,0,0,0,0,1,2,1,5,5,2,2,3,4,3,4,9,11,39,39,22,24,9,13,31,17,3,10,43,37,12,17,1,0,0 (0),0 (0),113.633,29.838,73.597,10.198,117.241,27.431,78.063,11.747,6.7,6.9,14 (33%),17 (41%),11 (26%),9 (29%),14 (45%),8 (26%),1/1,0/0,3/6,4/7,0/1,2/2,0/1,0/0,1/1,2/2,0/1,1/3,6,3,6,5,1,1,5,1,10,7,1,0,GONZALO HIGUAIN,9,JOSE' CALLEJON,7,1.8,3.5,4.75
2016-2017,11,ATALANTA,GENOA,30/10/2016,STADIUM ATLETI AZZURRI D'ITALIA,12:30,MICHAEL  FABBRI,RODOLFO  DI VUOLO,LUCA  MONDIN,FABIANO  PRETI,NICOLA  RIZZOLI,FRANCESCO SAIA,3,0,H,GIAN PIERO GASPERINI,IVAN JURIC,3-4-1-2,3-4-3,94'02,48'50,52%,23'22 (48%),12'58 (55%),10'24 (45%),25'28 (52%),14'52 (58%),10'36 (42%),2'13,2'55,2'39,5'10,5'10,5'15,3'38,3'39,4'56,4'41,5'20,3'14,13,10,9(3),4(0),0,0,2,1,5,4,0,0,0,1,1,0,4,6,9,6,6,3,3,2,3,3,11,12,32,35,30,21,5,1,17,15,2,0,19,22,17,18,3,0,0 (0),0 (0),104.729,27.864,68.115,8.75,103.801,27.206,67.742,8.853,6.7,6.6,7 (28%),13 (52%),5 (20%),3 (17%),10 (55%),5 (28%),2/2,0/0,0/1,2/2,1/1,0/0,1/1,0/0,1/2,1/4,0/0,0/0,10,5,5,8,2,0,2,10,3,5,1,0,JASMIN KURTIC,27,GIOVANNI SIMEONE,9,2.3,3.2,3.3
2016-2017,11,CROTONE,CHIEVOVERONA,30/10/2016,STADIUM EZIO SCIDA,15:00,LUCA  PAIRETTO,MARCO  BARBIRATI,MAURIZIO  DE TROIA,SALVATORE  LONGO,DOMENICO  CELI,LORENZO ILLUZZI,2,0,H,DAVIDE NICOLA,ROLANDO MARAN,4-3-3,4-3-1-2,97'00,54'52,57%,24'33 (45%),14'35 (59%),9'58 (41%),30'19 (55%),17'02 (56%),13'17 (44%),4'04,4'10,5'00,2'49,3'32,4'58,4'02,4'24,3'46,6'20,5'36,6'11,10,9,9(2),4(0),3,0,2,1,5,3,0,0,0,1,0,0,4,7,10,8,2,3,2,2,4,5,19,20,22,28,21,26,12,11,28,22,3,2,36,39,14,16,1,1,1 (1),0 (0),110.387,28.619,74.094,7.674,106.612,30.375,68.504,7.733,6.7,6.6,6 (25%),12 (50%),6 (25%),4 (13%),21 (65%),7 (22%),0/3,2/2,1/3,1/3,0/1,0/0,0/1,2/2,0/4,5/8,0/1,1/4,6,3,4,6,1,1,7,7,6,5,1,0,DIEGO FALCINELLI,11,PERPARIM HETEMAJ,56,3.5,3.2,2.2
2016-2017,11,EMPOLI,ROMA,30/10/2016,STADIUM CARLO CASTELLANI,15:00,MARCO  DI BELLO,MATTEO  PASSERI,ALBERTO  TEGONI,ANDREA  CRISPO,PIERO  GIACOMELLI,DAVIDE GHERSINI,0,0,D,GIOVANNI MARTUSCIELLO,LUCIANO SPALLETTI,4-3-1-2,4-2-3-1,95'16,56'25,59%,24'11 (43%),15'12 (63%),8'59 (37%),32'14 (57%),19'24 (60%),12'50 (40%),3'58,4'21,3'30,4'38,3'08,4'36,6'24,5'41,4'08,3'58,5'03,7'00,7,20,2(0),8(0),0,0,0,3,0,8,0,0,0,1,1,0,6,2,3,10,1,5,1,4,4,8,13,9,26,27,21,23,4,4,26,18,5,1,22,21,17,33,2,3,0 (0),0 (0),103.502,24.615,69.706,9.181,105.171,28.293,68.582,8.296,6.9,6.7,5 (42%),6 (50%),1 (8%),7 (23%),7 (24%),16 (53%),0/0,0/1,2/3,0/1,0/1,0/0,2/3,0/1,1/2,2/4,0/0,2/2,1,4,3,12,0,1,6,2,9,6,0,0,MANUEL PASQUAL,21,EDIN DZEKO,9,6,4.2,1.55
2016-2017,11,LAZIO,SASSUOLO,30/10/2016,STADIUM OLIMPICO,15:00,GIANPAOLO  CALVARESE,FABRIZIO  POSADO,GIORGIO  SCHENONE,GIANLUCA  VUOTO,LUCA  BANTI,IVANO PEZZUTO,2,1,H,SIMONE INZAGHI,EUSEBIO DI FRANCESCO,4-3-3,5-3-2,94'08,49'34,53%,27'29 (55%),13'38 (50%),13'51 (50%),22'05 (45%),14'13 (64%),7'52 (36%),4'08,5'11,5'41,3'25,4'45,4'19,4'59,2'57,3'48,3'12,3'27,3'42,12,12,8(2),5(1),0,0,0,0,5,1,0,0,0,0,0,1,4,4,10,12,5,3,2,1,10,4,17,8,34,34,20,24,3,5,12,14,0,0,40,24,31,25,0,0,0 (0),0 (0),104.79,26.14,70.995,7.655,107.589,24.415,74.183,8.991,6.9,7,7 (18%),17 (44%),15 (38%),5 (20%),16 (64%),4 (16%),0/1,3/3,1/3,0/7,0/0,0/0,0/0,3/3,5/7,3/4,0/0,0/0,8,4,3,4,0,1,8,9,3,3,1,0,CIRO IMMOBILE,17,GREGOIRE DEFREL,11,1.67,3.75,5.5
2016-2017,11,MILAN,PESCARA,30/10/2016,STADIUM GIUSEPPE MEAZZA,15:00,DANIELE  DOVERI,ALESSANDRO  GIALLATINI,STEFANO  ALASSIO,LORENZO  MANGANELLI,CARMINE  RUSSO,LUIGI NASCA,1,0,H,VINCENZO MONTELLA,MASSIMO ODDO,4-3-3,4-3-2-1,98'09,43'44,45%,22'25 (51%),8'04 (36%),14'21 (64%),21'19 (49%),10'04 (47%),11'15 (53%),4'04,3'38,4'32,2'23,3'52,3'55,4'37,3'10,1'43,1'55,2'47,7'07,18,13,12(1),7(0),1,0,0,1,6,5,0,0,1,0,0,0,6,8,11,9,5,1,3,4,5,5,8,13,28,35,23,19,13,7,16,18,0,4,20,37,15,15,0,0,0 (0),0 (0),110.605,30.512,73.088,7.005,113.133,30.028,75.804,7.301,6.5,6.7,12 (33%),16 (45%),8 (22%),4 (15%),9 (35%),13 (50%),3/3,0/1,1/1,3/4,0/1,3/3,1/2,0/1,0/0,1/3,0/1,0/3,5,5,8,3,1,1,4,3,6,5,1,0,GIACOMO BONAVENTURA,5,LEDIAN MEMUSHAJ,8,1.4,4.75,8
2016-2017,11,SAMPDORIA,INTER,30/10/2016,STADIUM LUIGI FERRARIS,20:45,PAOLO SILVIO  MAZZOLENI,ALFONSO  MARRAZZO,GIORGIO  PERETTI,GIACOMO  PAGANESSI,MARCO  GUIDA,MAURIZIO MARIANI,1,0,H,MARCO GIAMPAOLO,FRANK DE BOER,4-3-1-2,4-3-3,94'14,55'30,59%,27'23 (49%),12'22 (45%),15'01 (55%),28'07 (51%),14'02 (50%),14'05 (50%),5'24,4'33,3'26,2'48,3'08,8'04,3'30,4'29,4'15,6'41,4'49,4'23,8,12,4(1),5(0),0,0,1,0,4,2,0,0,0,0,0,1,3,2,7,11,4,3,2,6,4,5,14,14,50,43,23,26,5,6,29,13,5,4,28,39,14,26,4,0,0 (0),0 (0),112.173,28.814,72.742,10.617,112.252,27.925,74.867,9.46,6.9,6.8,2 (10%),10 (50%),8 (40%),16 (46%),9 (25%),10 (29%),1/1,0/0,0/0,3/6,0/0,0/0,3/3,0/0,6/9,6/10,0/0,0/0,7,2,4,6,1,3,8,7,4,6,1,0,FABIO QUAGLIARELLA,27,MAURO ICARDI,9,3.6,3.5,2.05
2016-2017,11,UDINESE,TORINO,31/10/2016,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",19:00,PAOLO  TAGLIAVENTO,GIULIO  DOBOSZ,FILIPPO  VALERIANI,ANDREA  MARZALONI,RICCARDO  PINZANI,DANIELE MINELLI,2,2,D,LUIGI DELNERI,SINISA MIHAJLOVIC,4-3-3,4-3-3,93'06,51'20,55%,24'54 (49%),13'15 (53%),11'39 (47%),26'26 (51%),16'04 (61%),10'22 (39%),4'57,4'03,5'28,3'23,3'18,3'45,3'17,5'39,3'06,3'34,4'31,6'18,11,8,5(2),3(2),0,0,2,0,5,3,0,0,1,0,0,0,1,2,7,5,5,4,0,2,4,4,11,19,33,34,33,31,7,5,17,14,4,1,21,21,15,21,3,0,0 (0),0 (0),111.022,27.941,74.255,8.826,108.705,28.139,72.023,8.543,7,6.9,1 (7%),8 (57%),5 (36%),3 (17%),7 (39%),8 (44%),0/0,0/1,1/1,0/4,0/0,0/0,0/0,0/1,1/2,3/8,0/0,0/0,7,13,4,9,0,0,5,10,9,7,0,0,DUVAN ZAPATA,9,ADEM LJAJIC,10,2.88,3.25,2.45
2016-2017,11,CAGLIARI,PALERMO,31/10/2016,STADIUM SANT'ELIA,21:00,MASSIMILIANO  IRRATI,ALESSANDRO  LO CICERO,STEFANO  DEL GIOVANE,STEFANO  LIBERTI,CLAUDIO  GAVILLUCCI,GIANLUCA MANGANIELLO,2,1,H,MASSIMO RASTELLI,ROBERTO DE ZERBI,4-3-1-2,4-1-4-1,95'03,46'51,49%,20'16 (43%),11'36 (57%),8'40 (43%),26'35 (57%),20'10 (76%),6'25 (24%),3'31,3'31,4'02,3'01,2'05,4'06,4'24,3'26,4'39,4'49,4'44,4'32,7,7,5(2),3(1),0,0,3,2,4,1,0,0,2,3,0,0,2,3,5,3,4,2,3,0,2,4,15,14,40,41,36,29,1,0,19,19,3,1,35,37,5,15,0,0,0 (0),0 (0),109.205,27.568,71.86,9.777,109.436,26.707,73.053,9.676,6.9,7,10 (56%),4 (22%),4 (22%),5 (25%),7 (35%),8 (40%),2/2,0/0,3/7,1/2,0/0,0/0,0/1,0/0,0/2,1/7,0/0,0/0,10,2,12,11,0,1,10,8,4,7,0,0,DANIELE DESSENA,4,ILIJA NESTOROVSKI,30,1.73,3.5,5
2016-2017,12,TORINO,CAGLIARI,05/11/2016,STADIUM OLIMPICO GRANDE TORINO,18:00,MAURIZIO  MARIANI,ANDREA  CRISPO,DAMIANO  DI IORIO,ALFONSO  MARRAZZO,CARMINE  RUSSO,EUGENIO ABBATTISTA,5,1,H,SINISA MIHAJLOVIC,MASSIMO RASTELLI,4-3-3,4-4-2,92'05,53'07,58%,35'06 (66%),22'34 (64%),12'32 (36%),18'01 (34%),12'12 (68%),5'49 (32%),5'02,3'37,4'57,5'35,8'25,7'30,1'57,5'14,4'00,1'31,1'47,3'31,18,9,9(5),7(1),1,0,0,2,5,5,0,0,0,1,1,0,6,4,16,9,5,1,1,3,5,4,14,9,31,21,33,16,15,9,18,25,18,10,32,23,23,13,1,1,1 (1),0 (0),108.753,28.029,72.14,8.584,102.941,27.462,66.937,8.542,7,6.7,9 (26%),20 (59%),5 (15%),6 (35%),10 (59%),1 (6%),0/0,0/0,1/3,1/3,0/1,2/2,0/1,0/0,2/3,1/2,2/2,0/1,8,9,3,7,3,3,6,3,5,2,0,0,ANTONIO BARRECA,23,FEDERICO MELCHIORRI,9,1.55,4.33,5.75
2016-2017,12,NAPOLI,LAZIO,05/11/2016,STADIUM SAN PAOLO,20:45,ANTONIO  DAMATO,MARCO  BARBIRATI,SALVATORE  LONGO,ANDREA  MARZALONI,DAVIDE  MASSA,MASSIMILIANO IRRATI,1,1,D,MAURIZIO SARRI,SIMONE INZAGHI,4-3-3,3-5-2,93'54,52'10,56%,32'20 (62%),16'04 (50%),16'16 (50%),19'50 (38%),13'58 (70%),5'52 (30%),4'42,6'09,6'17,5'34,4'45,4'53,4'25,2'29,2'51,3'06,2'16,4'43,19,6,12(1),3(1),0,0,1,0,6,2,0,0,1,0,1,0,2,9,15,4,5,3,2,1,9,2,11,13,43,49,33,37,10,17,13,29,1,0,31,38,33,13,0,0,0 (0),0 (0),112.071,27.77,72.9,11.401,111.6,27.645,74.633,9.322,7,7,21 (40%),22 (43%),9 (17%),12 (46%),8 (31%),6 (23%),0/0,0/0,4/7,2/3,0/2,1/2,0/0,0/0,1/2,0/0,0/0,0/0,8,7,5,6,4,3,11,10,3,11,1,1,MAREK HAMSIK,17,KEITA,14,1.67,4,5
2016-2017,12,PESCARA,EMPOLI,06/11/2016,STADIUM ADRIATICO - GIOVANNI CORNACCHIA,12:30,DANIELE  ORSATO,GIUSEPPE  DE PINTO,ALESSIO  TOLFO,LUCA  MONDIN,LUCA  PAIRETTO,LORENZO ILLUZZI,0,4,A,MASSIMO ODDO,GIOVANNI MARTUSCIELLO,4-3-2-1,4-3-1-2,92'14,54'27,59%,28'11 (52%),13'07 (47%),15'04 (53%),26'16 (48%),15'52 (60%),10'24 (40%),5'46,4'28,5'02,4'19,4'20,4'16,4'33,3'59,4'53,4'44,2'25,5'41,17,10,10(0),6(4),0,0,1,0,7,6,0,0,1,1,1,1,2,7,13,9,2,7,3,2,8,1,13,11,32,27,24,25,1,7,14,15,0,0,21,14,26,18,0,6,0 (0),0 (0),103.276,26.198,69.899,7.179,108.887,24.72,76.575,7.592,6.7,6.9,8 (23%),20 (57%),7 (20%),3 (25%),8 (67%),1 (8%),2/3,2/3,2/4,2/3,0/0,0/1,0/1,2/3,0/0,0/0,1/1,0/0,4,6,7,6,0,1,4,10,3,6,1,1,GIANLUCA CAPRARI,17,MASSIMO MACCARONE,7,2.4,3.2,3.1
2016-2017,12,CHIEVOVERONA,JUVENTUS,06/11/2016,STADIUM MARC'ANTONIO BENTEGODI,15:00,PAOLO  VALERI,LORENZO  MANGANELLI,SERGIO  RANGHETTI,ALESSANDRO  GIALLATINI,LUCA  BANTI,CLAUDIO GAVILLUCCI,1,2,A,ROLANDO MARAN,MASSIMILIANO ALLEGRI,3-5-2,3-5-2,97'19,47'49,49%,19'22 (41%),11'04 (57%),8'18 (43%),28'27 (59%),17'42 (62%),10'45 (38%),3'07,1'58,3'09,4'49,1'54,4'24,4'31,6'08,4'51,3'48,3'01,6'08,7,14,2(1),6(2),1,2,0,0,2,3,0,0,1,1,0,0,4,1,3,10,0,2,1,3,2,4,19,12,26,30,23,21,4,7,33,8,10,3,24,19,18,31,1,2,1 (1),0 (0),107.76,28.378,70.234,9.148,106.444,30.285,66.553,9.606,6.6,6.4,5 (38%),5 (39%),3 (23%),8 (38%),6 (29%),7 (33%),1/1,0/1,3/6,1/1,1/2,1/1,0/1,0/1,3/3,2/5,0/1,4/4,2,7,4,8,1,1,3,5,3,10,0,0,SERGIO PELLISSIER,31,MARIO MANDZUKIC,17,9,4,1.44
2016-2017,12,GENOA,UDINESE,06/11/2016,STADIUM LUIGI FERRARIS,15:00,GIANLUCA  MANGANIELLO,GIANLUCA  CARIOLATO,STEFANO  LIBERTI,GIORGIO  PERETTI,DANIELE  DOVERI,FEDERICO LA PENNA,1,1,D,IVAN JURIC,LUIGI DELNERI,4-3-3,4-3-3,94'59,54'02,57%,35'42 (66%),16'55 (47%),18'47 (53%),18'20 (34%),9'35 (52%),8'45 (48%),4'26,7'13,5'34,4'55,6'04,7'30,4'15,1'41,2'55,3'51,1'54,3'43,13,10,4(1),4(1),0,0,0,0,4,2,0,0,0,1,0,1,3,3,8,4,1,2,3,1,3,1,14,11,49,35,38,30,0,2,13,23,0,0,48,36,19,5,2,1,0 (0),0 (0),107.965,29.886,70.284,7.795,109.698,29.626,73.088,6.984,6.6,6.7,10 (34%),11 (38%),8 (28%),3 (15%),8 (40%),9 (45%),1/1,2/4,2/8,2/3,0/0,0/0,0/0,2/4,0/2,0/5,0/0,0/0,10,10,8,9,1,0,9,8,7,4,0,2,LUCAS OCAMPOS,11,CYRIL THEREAU,77,1.85,3.6,4.33
