Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Pt_1st_hf,Pt_2nd_hf,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Post_T1,Post_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Blck_shts_T1,Blck_shts_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Drbbl_T1,Drbbl_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Pss_Cmpl_T1,Pss_Cmpl_T2,Pss_Cmpl_Perc_T1,Pss_Cmpl_Perc_T2,Pss_Fnl_Thr_T1,Pss_Fnl_Thr_T2,Frwd_Pss_T1,Frwd_Pss_T2,Crs_Suc_Atp_T1,Crs_Suc_Atp_T2,Lng_Pss_T1,Lng_Pss_T2,Key_Pss_T1,Key_Pss_T2,Rcv_Bls_T1,Rcv_Bls_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Blls_Plyd_T1,Blls_Plyd_Def_T1,Blls_Plyd_Mid_T1,Blls_Plyd_Atk_T1,Blls_Plyd_T2,Blls_Plyd_Def_T2,Blls_Plyd_Mid_T2,Blls_Plyd_Atk_T2,Tch_Def_Top_Left_T1,Tch_Def_Top_Ctr_Left_T1,Tch_Def_Top_Ctr_Right_T1,Tch_Def_Top_Right_T1,Tch_Def_Btm_Left_T1,Tch_Def_Btm_Ctr_Left_T1,Tch_Def_Btm_Ctr_Right_T1,Tch_Def_Btm_Right_T1,Tch_Mid_Top_Left_T1,Tch_Mid_Top_Ctr_Left_T1,Tch_Mid_Top_Ctr_Right_T1,Tch_Mid_Top_Right_T1,Tch_Mid_Btm_Left_T1,Tch_Mid_Btm_Ctr_Left_T1,Tch_Mid_Btm_Ctr_Right_T1,Tch_Mid_Btm_Right_T1,Tch_Atk_Top_Left_T1,Tch_Atk_Top_Ctr_Left_T1,Tch_Atk_Top_Ctr_Right_T1,Tch_Atk_Top_Right_T1,Tch_Atk_Btm_Left_T1,Tch_Atk_Btm_Ctr_Left_T1,Tch_Atk_Btm_Ctr_Right_T1,Tch_Atk_Btm_Right_T1,Tch_Def_Top_Left_T2,Tch_Def_Top_Ctr_Left_T2,Tch_Def_Top_Ctr_Right_T2,Tch_Def_Top_Right_T2,Tch_Def_Btm_Left_T2,Tch_Def_Btm_Ctr_Left_T2,Tch_Def_Btm_Ctr_Right_T2,Tch_Def_Btm_Right_T2,Tch_Mid_Top_Left_T2,Tch_Mid_Top_Ctr_Left_T2,Tch_Mid_Top_Ctr_Right_T2,Tch_Mid_Top_Right_T2,Tch_Mid_Btm_Left_T2,Tch_Mid_Btm_Ctr_Left_T2,Tch_Mid_Btm_Ctr_Right_T2,Tch_Mid_Btm_Right_T2,Tch_Atk_Top_Left_T2,Tch_Atk_Top_Ctr_Left_T2,Tch_Atk_Top_Ctr_Right_T2,Tch_Atk_Top_Right_T2,Tch_Atk_Btm_Left_T2,Tch_Atk_Btm_Ctr_Left_T2,Tch_Atk_Btm_Ctr_Right_T2,Tch_Atk_Btm_Right_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2021-2022,7,ROMA,EMPOLI,03/10/2021,OLIMPICO STADIUM,18:00,GIOVANNI  AYROLDI,ALESSIO  BERTI,DAMIANO  DI IORIO,LUCA  ZUFFERLI,PAOLO SILVIO  MAZZOLENI,STEFANO ALASSIO,2,0,H,JOSE' MOURINHO,AURELIO ANDREAZZOLI,4-2-3-1,4-3-1-2,94'02,55'33,28'47,26'46,59%,34'38 (62%),18'32 (54%),16'06 (46%),20'55 (38%),12'16 (59%),8'39 (41%),6'36,6'14,6'15,2'59,6'08,6'27,3'38,2'45,3'19,3'57,3'01,4'16,18,11,7(2),3(0),0,0,0,0,6,1,1,0,6,5,3,4,5,3,8,2,1,0,3,4,7,8,5,5,11,16,561,275,91%,83%,152,55,303,134,4/7,6/13,34,21,5,2,29,35,0 (0),0 (0),103.567,25.504,69.013,9.05,107.369,24.178,73.644,9.547,6.9,7.1,10 (24%),15 (37%),16 (39%),5 (20%),6 (24%),14 (56%),822,280,318,224,549,207,239,103,15,26,54,15,31,40,58,41,28,29,50,51,30,35,49,46,35,44,37,45,20,17,19,7,7,42,47,8,29,39,27,8,42,23,36,7,46,32,26,27,22,12,5,16,23,13,6,6,LORENZO PELLEGRINI,7,FEDERICO DI FRANCESCO,11,1.4,5,7
2021-2022,7,ATALANTA,MILAN,03/10/2021,GEWISS STADIUM STADIUM,20:45,MARCO  DI BELLO,GIOVANNI  BACCINI,DARIO  CECCONI,DANIELE  DOVERI,ROSARIO  ABISSO,MAURO VIVENZI,2,3,A,GIAN PIERO GASPERINI,STEFANO PIOLI,3-4-2-1,4-2-3-1,97'03,48'45,26'19,22'26,50%,25'19 (52%),12'21 (49%),12'58 (51%),23'26 (48%),12'03 (51%),11'23 (49%),4'20,4'20,4'05,4'00,3'57,4'38,4'15,3'43,5'36,2'54,4'04,2'54,17,13,6(2),7(3),1,0,1,0,5,7,0,0,3,2,4,3,8,4,6,7,1,1,2,0,12,15,9,5,13,15,380,273,83%,75%,108,64,202,136,2/4,3/6,28,19,2,3,27,36,1 (1),0 (0),110.839,28.524,72.42,9.895,110.063,29.507,69.915,10.641,6.8,6.8,8 (30%),15 (55%),4 (15%),3 (14%),15 (72%),3 (14%),724,226,312,186,620,216,264,140,11,23,34,7,31,46,48,26,37,45,46,33,32,39,42,38,25,32,33,42,12,13,14,15,16,30,45,12,19,34,36,24,25,37,44,34,33,31,38,22,37,22,15,20,22,8,12,4,DUVAN ZAPATA,91,RAFAEL LEAO,17,2.05,3.75,3.4
2021-2022,8,SPEZIA,SALERNITANA,16/10/2021,ALBERTO PICCO STADIUM,15:00,DAVIDE  MASSA,MATTEO  PASSERI,MICHELE  LOMBARDI,LORENZO  MAGGIONI,PAOLO  VALERI,ALESSANDRO LO CICERO,2,1,H,THIAGO  MOTTA,FABRIZIO CASTORI,4-2-3-1,4-3-1-2,100'33,47'40,26'16,21'24,47%,27'38 (58%),15'39 (57%),11'59 (43%),20'02 (42%),11'34 (58%),8'28 (42%),5'53,3'59,5'10,4'56,3'10,4'30,1'59,3'59,5'16,2'30,2'50,3'28,18,15,5(2),4(1),0,0,0,0,3,3,1,0,7,2,3,3,6,9,5,3,2,1,5,2,8,12,10,2,13,15,349,224,78%,69%,99,64,185,109,4/15,4/8,38,26,3,2,47,58,0 (0),0 (0),100.308,23.436,67.859,9.013,110.213,25.765,74.468,9.98,6.6,6.7,14 (45%),8 (26%),9 (29%),7 (28%),10 (40%),8 (32%),726,274,274,178,589,208,239,142,8,53,36,6,31,48,70,22,39,49,51,20,16,29,45,25,30,29,33,21,19,16,22,8,16,40,31,8,33,22,41,17,24,35,32,32,23,28,29,36,14,23,32,34,9,11,14,5,VIKTOR KOVALENKO,8,SIMY,25,2.1,3.4,3.5
2021-2022,8,LAZIO,INTER,16/10/2021,OLIMPICO STADIUM,18:00,MASSIMILIANO  IRRATI,GIUSEPPE  PERROTTI,DOMENICO  PALERMO,PAOLO SILVIO  MAZZOLENI,FABIANO  PRETI,GIANLUCA MANGANIELLO,3,1,H,MAURIZIO SARRI,SIMONE INZAGHI,4-3-3,3-5-1-1,97'10,57'00,28'27,28'33,59%,29'37 (52%),16'28 (56%),13'09 (44%),27'23 (48%),16'10 (59%),11'13 (41%),4'03,5'26,5'41,5'04,4'59,4'24,3'10,5'07,5'00,5'23,3'14,5'29,19,12,8(3),4(1),1,0,1,1,6,2,0,0,6,4,3,6,5,4,7,2,1,0,0,0,11,13,7,3,12,12,519,437,92%,87%,80,82,252,185,3/8,7/19,42,38,4,1,45,29,1 (1),1 (1),118.246,23.541,82.498,12.207,115.183,25.667,79.32,10.196,7.4,7,11 (37%),6 (20%),13 (43%),17 (52%),6 (18%),10 (30%),767,247,380,140,695,242,311,142,13,40,46,5,34,38,41,30,70,48,34,27,78,36,38,49,30,12,27,31,13,9,13,5,8,31,57,6,32,39,41,28,33,31,48,51,27,35,38,48,22,22,26,26,7,17,11,11,FELIPE ANDERSON,7,IVAN PERISIC,14,3.3,3.5,2.15
2021-2022,8,MILAN,HELLAS VERONA,16/10/2021,GIUSEPPE MEAZZA STADIUM,20:45,ALESSANDRO  PRONTERA,VITO  MASTRODONATO,LUIGI  LANOTTE,ALEANDRO  DI PAOLO,SALVATORE  LONGO,DANIELE PATERNA,3,2,H,STEFANO PIOLI,IGOR TUDOR,4-2-3-1,3-4-2-1,96'34,46'51,23'10,23'41,49%,25'45 (55%),12'56 (50%),12'49 (50%),21'06 (45%),9'45 (46%),11'21 (54%),3'55,4'24,4'36,4'38,4'23,3'49,4'58,2'27,2'50,3'06,2'53,4'52,17,10,4(2),5(2),1,2,1,1,2,5,0,0,6,4,3,2,7,1,3,4,1,1,0,1,10,8,5,4,11,20,320,238,78%,69%,84,86,165,143,9/18,1/4,23,17,0,2,38,49,1 (1),1 (1),103.445,28.649,65.246,9.55,106.906,30.049,67.635,9.222,6.3,6.4,6 (18%),25 (73%),3 (9%),5 (23%),12 (54%),5 (23%),679,213,297,169,605,217,235,153,5,27,30,11,33,40,42,25,18,46,63,48,10,24,54,34,14,30,39,30,8,17,16,15,8,55,44,4,15,38,32,21,26,41,29,19,28,36,37,19,27,28,27,33,13,10,11,4,RAFAEL LEAO,17,GIANLUCA CAPRARI,10,1.55,4.2,5.75
2021-2022,8,CAGLIARI,SAMPDORIA,17/10/2021,UNIPOL DOMUS STADIUM,12:30,MATTEO  MARCHETTI,PIETRO  DEI GIUDICI,MICHELE  GROSSI,GIANLUCA  AURELIANO,MANUEL  VOLPI,FRANCESCO MERAVIGLIA,3,1,H,WALTER MAZZARRI,ROBERTO D'AVERSA,4-4-2,4-3-3,97’53,42’17,21’25,20’52,43%,17’19 (41%),11’34 (67%),5’45 (33%),24’58 (59%),15’’17 (61%),9’41 (39%),1’54,3’31,4’19,2’18,2’47,2’30,2’17,4’42,4’42,4’45,4’07,4’25,12,17,5(3),3(1),1,1,0,0,4,2,0,1,5,9,2,2,2,5,3,4,2,1,2,3,5,2,5,9,14,18,209,344,69%,81%,52,92,111,179,2/8,9/23,35,32,0,2,49,56,0 (0),0 (0),100.596,27.962,65.871,6.763,95.994,27.385,60.751,7.858,6.4,6.3,11 (42%),6 (23%),9 (35%),10 (30%),10 (31%),13 (39%),536,206,206,124,677,197,285,195,5,42,46,10,19,35,21,28,25,31,24,27,38,32,13,16,38,14,18,11,15,12,10,6,4,23,40,11,16,26,47,30,27,27,51,42,35,20,35,48,39,28,29,21,33,17,17,11,JOAO PEDRO,10,MORTEN THORSBY,2,2.55,3.4,2.75
2021-2022,8,EMPOLI,ATALANTA,17/10/2021,CARLO CASTELLANI STADIUM,15:00,MARCO  SERRA,MARCELLO  ROSSI,FRANCESCO  FIORE,LUCA  BANTI,CIRO  CARBONE,GIACOMO CAMPLONE,1,4,A,AURELIO ANDREAZZOLI,GIAN PIERO GASPERINI,4-3-1-2,3-4-1-2,94'59,58'46,28'45,30'01,62%,27'36 (47%),16'15 (59%),11'21 (41%),31'10 (53%),21'47 (70%),9'23 (30%),4'35,4'22,4'49,3'58,3'16,6'36,5'03,5'41,4'15,5'29,5'40,5'02,12,22,6(1),7(3),1,0,0,0,4,5,0,0,0,7,4,3,6,8,3,9,1,3,6,2,8,8,5,4,10,16,327,374,79%,81%,73,104,141,177,1/12,1/5,22,47,1,3,39,42,0 (0),1 (0),114.665,25.258,77.739,11.668,109.22,26.263,72.543,10.414,7.2,7.1,9 (26%),9 (25%),17 (49%),11 (37%),8 (26%),11 (37%),657,215,292,150,711,279,271,161,8,30,50,3,32,28,47,17,38,36,51,25,35,40,31,36,28,31,19,19,18,8,14,13,13,45,59,6,37,34,39,46,48,39,35,28,38,27,20,36,22,25,28,28,12,15,19,12,FEDERICO DI FRANCESCO,11,JOSIP ILICIC,72,5.75,4.33,1.55
2021-2022,8,GENOA,SASSUOLO,17/10/2021,LUIGI FERRARIS STADIUM,15:00,DANIELE  CHIFFI,LUCA  MONDIN,MARCO  DELLA CROCE,MICHAEL  FABBRI,STEFANO  LIBERTI,GIANPIERO MIELE,2,2,D,DAVIDE BALLARDINI,ALESSIO DIONISI,4-4-2,4-2-3-1,100'34,45'04,24'07,20'57,45%,18'55 (42%),9'36 (51%),9'19 (49%),26'09 (58%),15'36 (60%),10'33 (40%),2'24,3'16,2'45,2'33,4'12,3'45,4'46,4'33,6'23,3'43,3'27,3'17,19,15,4(2),5(2),1,0,0,0,4,3,0,1,9,8,3,2,6,2,10,6,2,1,7,3,5,8,6,1,11,18,250,406,77%,86%,64,64,121,156,7/19,3/7,24,34,3,3,30,45,0 (0),0 (0),101.236,29.343,63.29,8.603,100.271,28.131,63.364,8.776,6.1,6.2,16 (36%),10 (23%),18 (41%),9 (21%),14 (32%),20 (47%),573,172,256,145,699,269,307,123,8,33,39,9,8,23,37,15,30,32,37,36,26,36,35,24,23,12,19,23,16,16,22,14,5,48,59,5,28,38,57,29,39,56,51,35,30,38,25,33,21,29,20,17,10,11,10,5,MATTIA DESTRO,23,GIANLUCA SCAMACCA,91,3.1,3.5,2.25
2021-2022,8,UDINESE,BOLOGNA,17/10/2021,DACIA ARENA - STADIO FRIULI STADIUM,15:00,ROSARIO  ABISSO,MATTEO  BOTTEGONI,EDOARDO  RASPOLLINI,DANIELE  DOVERI,DAVIDE  IMPERIALE,FRANCESCO COSSO,1,1,D,LUCA GOTTI,SINISA MIHAJLOVIC,3-5-2,3-4-2-1,95'17,47'21,25'39,21'42,50%,19'24 (41%),10'31 (54%),8'53 (46%),27'57 (59%),16'51 (60%),11'06 (40%),3'15,4'16,3'11,4'08,2'01,2'33,4'42,6'16,3'59,4'54,4'48,3'18,10,23,2(1),11(1),1,2,0,0,2,4,1,0,5,7,10,1,3,5,3,8,1,1,1,0,10,7,2,8,15,11,269,436,79%,88%,64,93,145,222,3/5,2/8,15,30,1,3,30,31,0 (0),0 (0),95.192,26.314,60.776,8.102,102.968,27.593,67.123,8.252,6.4,6.4,4 (19%),7 (33%),10 (48%),13 (38%),11 (33%),10 (29%),534,172,238,124,706,193,364,149,1,29,51,7,14,20,26,24,26,31,23,34,40,25,22,37,30,25,17,17,15,5,12,3,4,18,22,9,16,45,53,26,35,65,61,18,63,36,45,41,29,26,30,18,17,12,12,5,BETO,9,MUSA BARROW,99,2.25,3.4,3.2
2021-2022,8,NAPOLI,TORINO,17/10/2021,Diego Armando MARADONA STADIUM,18:00,JUAN LUCA  SACCHI,EMANUELE  PRENNA,ANDREA  ZINGARELLI,MARCO  DI BELLO,ALESSIO  TOLFO,ALBERTO SANTORO,1,0,H,LUCIANO SPALLETTI,IVAN JURIC,4-3-3,3-4-2-1,97'55,34'20,19'34,14'46,35%,17'30 (51%),8'48 (50%),8'42 (50%),16'50 (49%),10'18 (61%),6'32 (39%),2'55,2'40,4'17,2'47,2'33,2'18,3'36,2'49,3'17,2'47,2'30,1'51,10,11,3(1),3(0),1,1,1,0,3,3,1,0,6,5,3,2,1,3,5,5,0,0,2,3,6,11,3,4,6,20,297,268,78%,74%,85,63,156,140,1/7,2/3,25,25,2,5,38,43,1 (0),0 (0),106.615,28.106,67.186,11.323,105.842,29.662,66.208,9.972,6.5,6.3,6 (19%),15 (49%),10 (32%),6 (18%),13 (38%),15 (44%),620,186,285,149,609,186,292,131,8,26,26,10,15,32,47,22,35,39,42,40,31,20,44,34,42,21,28,19,15,9,14,1,2,27,43,4,30,24,28,28,35,39,35,43,36,39,38,27,28,27,23,17,12,4,10,10,VICTOR OSIMHEN,9,JOSIP BREKALO,14,1.4,4.5,8.5
2021-2022,8,JUVENTUS,ROMA,17/10/2021,ALLIANZ STADIUM STADIUM,20:45,DANIELE  ORSATO,DANIELE  BINDONI,MARCO  BRESMES,LUIGI  NASCA,ALESSANDRO  COSTANZO,ANDREA COLOMBO,1,0,H,MASSIMILIANO ALLEGRI,JOSE' MOURINHO,4-4-2,4-2-3-1,97'31,49'49,27'46,22'03,51%,23'54 (48%),14'44 (62%),9'10 (38%),25'55 (52%),12'15 (47%),13'40 (53%),3'12,3'31,7'28,2'18,2'36,4'49,4'03,4'45,4'47,4'18,4'24,3'38,6,14,2(1),4(0),0,1,0,1,2,3,0,0,4,4,4,1,0,6,4,3,0,0,3,3,3,10,0,6,18,13,412,448,85%,87%,66,82,180,227,3/8,3/10,34,21,2,1,38,20,0 (0),1 (0),107.674,29.355,69.526,8.793,109.684,27.846,72.541,9.297,6.4,6.6,4 (15%),14 (52%),9 (33%),3 (11%),19 (70%),5 (19%),684,231,334,119,715,204,356,155,9,41,44,10,18,40,48,21,37,58,54,42,43,30,43,27,31,10,28,21,7,5,11,6,19,33,27,3,37,35,22,28,33,57,34,27,56,55,55,39,20,25,31,40,9,10,15,5,FEDERICO BERNARDESCHI,20,LORENZO PELLEGRINI,7,1.85,3.8,4
2021-2022,8,VENEZIA,FIORENTINA,18/10/2021,PIER LUIGI PENZO STADIUM,20:45,LUCA  MASSIMI,DOMENICO  ROCCA,GAETANO  MASSARA,PIERO  GIACOMELLI,DAMIANO  DI IORIO,LUCA ZUFFERLI,1,0,H,PAOLO ZANETTI,VINCENZO ITALIANO,4-3-3,4-3-3,95'09,48'50,26'27,22'23,51%,18'32 (38%),11'26 (62%),7'06 (38%),30'18 (62%),18'01 (59%),12'17 (41%),3'06,3'09,3'18,3'10,3'00,2'49,6'53,5'18,4'43,3'59,3'10,6'15,4,10,2(1),2(0),0,1,0,0,2,1,0,0,0,5,2,1,2,3,3,3,1,0,6,2,6,9,2,5,17,11,277,507,75%,87%,34,103,85,227,1/3,7/15,25,60,1,1,31,26,0 (0),0 (0),112.416,23.316,76.99,12.11,107.676,23.238,72.765,11.673,7.5,7.2,11 (46%),8 (33%),5 (21%),13 (42%),7 (23%),11 (35%),558,275,212,71,806,267,363,176,16,48,26,9,37,42,55,42,18,34,32,36,12,26,28,26,12,6,15,14,7,3,8,6,12,41,25,8,26,61,61,33,27,61,63,33,39,67,37,36,20,30,26,37,19,8,15,21,MATTIA ARAMU,10,DUSAN VLAHOVIC,9,4.2,3.75,1.83
2021-2022,9,TORINO,GENOA,22/10/2021,OLIMPICO GRANDE TORINO STADIUM,18:30,PIERO  GIACOMELLI,ALESSANDRO  LO CICERO,DAMIANO  DI IORIO,FRANCESCO  MERAVIGLIA,ROSARIO  ABISSO,ALESSANDRO GIALLATINI,3,2,H,IVAN JURIC,DAVIDE BALLARDINI,3-4-2-1,3-5-2,94'01,46'52,24'49,22'03,50%,27'38 (59%),13'10 (48%),14'28 (52%),19'14 (41%),12'21 (64%),6'53 (36%),6'46,5'12,5'16,2'43,2'54,4'47,1'47,3'06,2'42,4'06,3'04,4'29,17,14,6(3),4(2),1,0,0,0,4,3,0,0,7,7,2,3,4,3,7,6,3,2,2,0,12,7,2,4,20,18,343,198,76%,64%,96,47,204,107,5/8,1/9,40,21,2,2,66,43,0 (0),0 (0),107.742,29.924,68.999,8.819,108.258,29.7,69.541,9.017,6.7,6.7,19 (36%),17 (32%),17 (32%),13 (31%),15 (36%),14 (33%),723,206,335,182,567,211,252,104,2,19,28,4,32,53,36,32,41,55,39,38,27,36,45,54,42,26,34,28,7,13,13,19,16,27,38,8,27,44,26,25,34,35,32,30,23,26,37,35,16,18,26,22,4,7,9,2,ANTONIO SANABRIA,19,MATTIA DESTRO,23,1.7,3.7,5
2021-2022,9,SAMPDORIA,SPEZIA,22/10/2021,LUIGI FERRARIS STADIUM,20:45,MICHAEL  FABBRI,CIRO  CARBONE,MARCO  SCATRAGLI,MATTEO  GARIGLIO,SIMONE  SOZZA,DANIELE BINDONI,2,1,H,ROBERTO D'AVERSA,THIAGO  MOTTA,4-4-2,4-2-3-1,96'59,54'54,27'10,27'44,57%,15'54 (29%),11'19 (71%),4'35 (29%),39'00 (71%),20'08 (52%),18'52 (48%),2'35,2'12,3'13,1'39,3'28,2'47,6'50,7'09,5'11,7'07,6'19,6'24,6,17,2(1),7(1),0,0,0,0,1,3,1,0,3,5,6,1,1,5,4,2,1,0,3,0,2,5,0,8,9,9,170,544,64%,85%,42,151,79,321,1/5,11/24,20,13,2,1,66,25,0 (0),0 (0),106.934,29.435,69.643,7.856,108.196,28.011,72.224,7.961,6.5,6.5,10 (43%),5 (22%),8 (35%),21 (58%),8 (23%),7 (19%),502,231,201,70,880,194,441,245,12,45,54,4,17,32,42,25,20,25,22,38,25,31,22,18,13,13,11,11,5,4,9,4,8,28,24,7,21,41,41,24,29,56,92,30,52,64,76,42,32,41,54,49,8,19,16,26,ANTONIO CANDREVA,87,DANIELE VERDE,10,1.8,3.8,4.2
2021-2022,9,SALERNITANA,EMPOLI,23/10/2021,ARECHI STADIUM,15:00,DANIELE  DOVERI,FABRIZIO  LOMBARDO,DAVIDE   MORO,MATTEO  MARCHETTI,LUIGI  NASCA,GIACOMO PAGANESSI,2,4,A,STEFANO COLANTUONO,AURELIO ANDREAZZOLI,3-4-1-2,4-3-1-2,97'11,45'09,23'17,21'52,46%,27'31 (61%),14'57 (54%),12'34 (46%),17'38 (39%),10'24 (59%),7'14 (41%),2'38,5'00,3'51,4'46,3'51,7'25,2'08,4'30,5'10,2'27,1'42,1'41,12,11,6(1),6(3),2,0,0,1,5,5,1,0,5,4,3,5,1,1,5,7,1,2,2,2,8,4,7,1,11,16,389,237,83%,78%,108,72,211,134,6/16,2/11,24,26,4,3,40,61,0 (0),1 (1),106.067,29.696,68.383,7.988,109.376,28.477,72.631,8.268,6.4,6.7,16 (48%),6 (19%),11 (33%),11 (42%),5 (20%),10 (38%),695,200,312,183,567,230,221,116,5,25,33,12,22,38,35,30,35,39,53,45,35,19,31,55,29,24,31,29,26,10,21,13,9,35,61,9,29,32,29,26,39,27,22,22,18,39,37,17,36,17,12,20,10,12,6,3,FRANCK RIBERY,7,ANDREA PINAMONTI,99,2.7,3.4,2.62
2021-2022,9,SASSUOLO,VENEZIA,23/10/2021,MAPEI STADIUM - CITTA' DEL TRICOLORE STADIUM,18:00,ANTONIO  DI MARTINO,NICCOLO'  PAGLIARDINI,SALVATORE  AFFATATO,FRANCESCO  COSSO,PAOLO SILVIO  MAZZOLENI,ANDREA COLOMBO,3,1,H,ALESSIO DIONISI,PAOLO ZANETTI,4-2-3-1,4-3-1-2,95'03,57'51,26'21,31'30,61%,36'26 (63%),19'57 (55%),16'29 (45%),21'25 (37%),15'54 (74%),5'31 (26%),4'43,4'25,6'34,7'08,4'49,8'47,2'33,4'50,3'16,3'10,4'04,3'32,14,8,7(2),3(1),1,1,0,0,7,3,0,0,2,1,1,5,5,4,6,4,1,1,1,5,6,8,5,4,10,15,552,281,90%,81%,94,27,252,83,1/9,3/11,40,25,3,3,30,25,0 (0),0 (0),107.642,27.839,71.139,8.664,109.313,26.314,73.611,9.388,6.6,6.7,15 (43%),8 (23%),12 (34%),6 (23%),7 (27%),13 (50%),804,215,421,168,555,254,222,79,1,26,28,17,19,38,45,41,34,77,81,36,36,42,56,59,35,34,22,26,9,16,17,9,12,52,35,7,28,38,50,32,22,42,38,18,25,29,22,26,21,14,5,5,16,7,8,3,DOMENICO BERARDI,25,DAVID OKEREKE,77,1.57,4.2,5.5
2021-2022,9,BOLOGNA,MILAN,23/10/2021,RENATO DALL'ARA STADIUM,20:45,PAOLO  VALERI,FILIPPO  BERCIGLI,ALESSIO  BERTI,DANIELE  MINELLI,DANIELE  CHIFFI,LUCA MONDIN,2,4,A,SINISA MIHAJLOVIC,STEFANO PIOLI,3-4-2-1,4-2-3-1,95'47,45'28,26'22,19'06,47%,17'16 (38%),9'41 (56%),7'35 (44%),28'12 (62%),13'03 (46%),15'09 (54%),4'11,3'10,3'26,2'11,2'44,1'34,4'07,4'46,6'42,2'42,3'19,6'36,9,15,4(1),7(4),1,0,0,0,3,4,0,0,3,3,3,3,2,5,4,5,1,2,0,2,6,6,4,1,7,15,275,531,79%,90%,53,148,143,316,3/4,6/15,26,24,2,1,33,26,0 (0),0 (0),94.76,24.4,62.861,7.499,100.983,29.047,63.462,8.474,6.5,6.3,5 (24%),10 (47%),6 (29%),11 (28%),22 (57%),6 (15%),542,212,236,94,803,151,419,233,7,31,36,10,29,43,38,18,18,25,33,18,32,38,43,29,12,16,15,25,11,6,5,4,8,20,24,6,26,29,29,9,32,64,71,48,58,56,40,50,45,45,50,38,8,11,14,22,MUSA BARROW,99,ISMAEL BENNACER,4,3.35,3.6,2.1
2021-2022,9,ATALANTA,UDINESE,24/10/2021,GEWISS STADIUM STADIUM,12:30,LIVIO  MARINELLI,STEFANO  LIBERTI,VITTORIO  DI GIOIA,MATTEO  MARCENARO,DANIELE  ORSATO,SALVATORE LONGO,1,1,D,GIAN PIERO GASPERINI,LUCA GOTTI,3-4-1-2,3-4-3,97'27,52'16,28'10,24'06,54%,35'31 (68%),18'17 (51%),17'14 (49%),16'45 (32%),10'26 (62%),6'19 (38%),6'45,7'51,5'32,6'55,4'49,3'39,1'52,2'56,3'14,1'56,4'05,2'42,8,9,3(1),3(1),0,2,0,0,2,2,1,1,1,5,2,2,4,1,3,3,1,1,1,0,4,1,6,3,15,15,547,219,85%,72%,109,42,267,106,3/7,3/7,24,20,2,1,30,41,0 (0),0 (0),105.313,28.231,67.884,9.198,105.564,28.653,67.732,9.179,6.7,6.5,13 (36%),8 (22%),15 (42%),10 (40%),8 (32%),7 (28%),880,235,463,182,546,215,239,92,15,31,28,8,19,62,46,26,42,84,87,27,46,59,64,54,36,34,36,31,10,10,11,14,12,38,32,7,23,50,42,11,16,47,34,28,22,24,41,27,8,14,22,13,8,5,7,15,RUSLAN MALINOVSKYI,18,BETO,9,1.4,5,7.5
