Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,Gls_T1,Gls_T2,FR,Gls_fh_T1,Gls_fh_T2,FHR,Gls_sh_T1,Gls_sh_T2,SHR,Gls_0_15_T1,Gls_16_30_T1,Gls_31_HT_T1,Gls_46_60_T1,Gls_61_75_T1,Gls_76_FT_T1,Gls_0_15_T2,Gls_16_30_T2,Gls_31_HT_T2,Gls_46_60_T2,Gls_61_75_T2,Gls_76_FT_T2,Coach_T1,Coach_T2,Svs_T1,Svs_T2,Crcl_svs_T1,Crcl_svs_T2,Pnt_T1,Pnt_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,FlsC_T1,FlsC_T2,Post_T1,Post_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,1st_yllw_crd_T1,1st_yllw_crd_T2,2nd_yllw_crd_T1,2nd_yllw_crd_T2,rd_crd_T1,rd_crd_T2,Fst_brk_T1,Fst_brk_T2,Crs_T1,Crs_T2,Lng_blls_T1,Lng_blls_T2,Atk_mddl_T1,Atk_mddl_T2,Atk_rght_T1,Atk_rght_T2,Atk_lft_T1,Atk_lft_T2,bet365_home_win,bet365_draw,bet365_away_win
2013-14,2,CHIEVOVERONA,NAPOLI,31/08/2013,MARCANTONIO BENTEGODI - VERONA,18:00,PAOLO VALERI,2,4,A,2,2,D,0,2,A,0,1,1,0,0,0,1,1,0,0,2,0,Giuseppe Sannino,Rafael Benitez,3,3,2,1,0 (0),0 (0),10,14,6,8,0,0,4,6,0,0,11,11,1,1,4,6,1,3,0,2,3,4,1,1,0,0,0,0,1,1,10,9,12,9,0,1,2,1,1,3,4.75,3.5,1.75
2013-14,2,JUVENTUS,LAZIO,31/08/2013,ALLIANZ STADIUM - TORINO,20:45,PAOLO TAGLIAVENTO,4,1,H,2,1,H,2,0,H,1,1,0,1,0,1,0,1,0,0,0,0,Antonio Conte,Vladimir Petkovic,11,2,1,1,0 (0),0 (0),11,17,7,12,0,2,4,5,0,1,12,14,1,0,6,2,3,0,4,1,4,5,1,0,0,1,0,0,2,3,7,9,15,6,10,6,5,1,4,3,1.36,4.5,9
2013-14,2,ROMA,HELLAS VERONA,01/09/2013,OLIMPICO - ROMA,18:00,PIERO GIACOMELLI,3,0,H,0,0,D,3,0,H,0,0,0,2,1,0,0,0,0,0,0,0,Rudi Garcia,Andrea Mandorlini,1,9,0,1,0 (0),0 (0),23,8,12,2,1,0,11,6,1,0,6,11,0,1,12,2,8,2,1,0,9,3,2,2,0,0,0,0,0,1,8,5,6,4,16,3,10,2,3,6,1.4,4.5,8
2013-14,2,ATALANTA,TORINO,01/09/2013,GEWISS STADIUM - BERGAMO,20:45,MAURO BERGONZI,2,0,H,0,0,D,2,0,H,0,0,0,1,0,1,0,0,0,0,0,0,Stefano Colantuono,Gian Piero Ventura,4,1,1,1,0 (0),0 (0),7,12,3,6,0,1,4,6,0,1,16,16,0,2,4,6,1,1,1,0,6,4,3,2,0,0,0,0,3,3,15,7,10,10,7,7,2,5,3,5,2.1,3.2,3.6
2013-14,2,BOLOGNA,SAMPDORIA,01/09/2013,RENATO DALL'ARA - BOLOGNA,20:45,DINO TOMMASI,2,2,D,1,1,D,1,1,D,0,0,1,0,1,0,0,1,0,0,1,0,Stefano Pioli,Delio Rossi,5,6,0,1,0 (0),0 (0),12,10,8,7,1,2,4,3,1,0,15,12,0,0,2,1,3,4,3,0,5,4,4,4,0,0,0,0,3,3,13,7,8,10,2,0,3,6,4,5,2.2,3.25,3.3
2013-14,2,CATANIA,INTER,01/09/2013,ANGELO MASSIMINO - CATANIA,20:45,ANTONIO DAMATO,0,3,A,0,1,A,0,2,A,0,0,0,0,0,0,0,1,0,1,0,1,Rolando Maran,Walter Mazzarri,5,5,2,1,0 (0),0 (0),11,16,5,8,0,0,6,8,0,0,16,8,0,0,2,4,2,7,1,1,4,3,3,2,0,0,0,0,2,2,7,6,8,11,7,3,6,9,3,8,2.75,3.2,2.6
2013-14,2,GENOA,FIORENTINA,01/09/2013,LUIGI FERRARIS - GENOVA,20:45,DOMENICO CELI,2,5,A,0,3,A,2,2,D,0,0,0,2,0,0,2,0,1,2,0,0,Fabio Liverani,Vincenzo Montella,4,6,0,0,1 (1),1 (1),11,13,8,10,2,1,3,3,0,0,13,7,0,1,5,8,3,3,4,1,10,2,1,3,1,0,0,0,0,0,12,5,8,10,5,8,1,2,4,4,4,3.3,1.95
2013-14,2,MILAN,CAGLIARI,01/09/2013,GIUSEPPE MEAZZA - MILANO,20:45,CARMINE RUSSO,3,1,H,2,1,H,1,0,H,1,1,0,0,1,0,0,0,1,0,0,0,Massimiliano Allegri,Diego Lopez,1,5,0,0,0 (0),0 (0),14,8,8,2,0,0,6,6,3,0,24,12,0,0,4,3,0,1,2,3,3,5,1,1,0,0,0,0,0,1,13,11,3,8,9,2,8,7,5,6,1.4,4.5,7.5
2013-14,2,SASSUOLO,LIVORNO,01/09/2013,MAPEI STADIUM - REGGIO EMILIA,20:45,PAOLO SILVIO MAZZOLENI,1,4,A,0,1,A,1,3,A,0,0,0,0,1,0,0,0,1,0,3,0,Eusebio Di Francesco,Davide Nicola,1,4,0,0,0 (0),1 (1),8,10,5,5,0,2,3,5,0,2,13,14,0,0,5,5,8,7,2,4,8,3,1,1,0,0,0,0,0,0,14,6,5,3,3,5,3,4,3,2,1.95,3.2,4.2
2013-14,2,UDINESE,PARMA,01/09/2013,DACIA ARENA - STADIO FRIULI - UDINE,20:45,EMILIO OSTINELLI,3,1,H,1,0,H,2,1,H,1,0,0,0,2,0,0,0,0,0,0,1,Francesco Guidolin,Roberto Donadoni,0,3,0,2,1 (1),0 (0),11,12,8,2,1,0,3,10,0,0,12,14,2,1,7,5,0,2,2,0,5,6,0,4,0,0,0,0,0,0,5,12,26,13,2,0,4,4,3,2,2.1,3.25,3.6
2013-14,3,INTER,JUVENTUS,14/09/2013,GIUSEPPE MEAZZA - MILANO,18:00,DANIELE ORSATO,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,0,1,0,Walter Mazzarri,Antonio Conte,4,3,1,0,0 (0),0 (0),7,9,4,5,0,0,3,4,0,0,16,11,0,0,4,3,1,2,1,5,6,1,2,2,0,0,0,0,4,2,6,5,5,6,6,8,8,10,11,6,3.5,3.3,2.1
2013-14,3,NAPOLI,ATALANTA,14/09/2013,SAN PAOLO - NAPOLI,20:45,GIANLUCA ROCCHI,2,0,H,0,0,D,2,0,H,0,0,0,0,1,1,0,0,0,0,0,0,Rafael Benitez,Stefano Colantuono,5,9,1,2,0 (0),0 (0),25,11,11,5,0,1,14,6,1,2,7,10,0,0,6,0,5,0,0,4,8,2,1,0,0,1,0,0,3,10,13,8,3,6,6,1,8,2,9,3,1.36,4.75,8.5
2013-14,3,TORINO,MILAN,14/09/2013,OLIMPICO - TORINO,20:45,DAVIDE MASSA,2,2,D,0,0,D,2,2,D,0,0,0,1,1,0,0,0,0,0,0,2,Gian Piero Ventura,Massimiliano Allegri,3,1,0,0,0 (0),1 (1),7,11,3,5,0,1,4,6,1,0,13,16,0,0,2,1,1,2,3,0,4,4,2,2,0,0,0,0,4,0,11,5,9,3,0,8,1,2,5,0,4.75,3.6,1.73
2013-14,3,FIORENTINA,CAGLIARI,15/09/2013,ARTEMIO FRANCHI - FIRENZE,12:30,ANDREA DE MARCO,1,1,D,0,0,D,1,1,D,0,0,0,0,1,0,0,0,0,0,0,1,Vincenzo Montella,Diego Lopez,1,1,0,0,0 (0),0 (0),8,6,2,2,1,0,6,4,0,0,9,15,0,0,2,1,2,1,3,0,4,9,2,3,0,0,1,0,1,4,19,10,13,16,3,5,3,4,4,1,1.44,4.33,7
2013-14,3,HELLAS VERONA,SASSUOLO,15/09/2013,MARCANTONIO BENTEGODI - VERONA,15:00,MASSIMILIANO IRRATI,2,0,H,1,0,H,1,0,H,1,0,0,0,0,1,0,0,0,0,0,0,Andrea Mandorlini,Eusebio Di Francesco,2,1,0,0,0 (0),0 (0),7,13,3,2,0,0,4,11,0,3,16,11,0,0,4,4,2,2,2,1,5,9,3,1,0,0,0,0,7,4,9,13,11,6,6,11,1,5,5,5,2.25,3.2,3.25
2013-14,3,LAZIO,CHIEVOVERONA,15/09/2013,OLIMPICO - ROMA,15:00,GIANPAOLO CALVARESE,3,0,H,3,0,H,0,0,D,1,0,2,0,0,0,0,0,0,0,0,0,Vladimir Petkovic,Giuseppe Sannino,5,3,1,0,0 (0),0 (0),12,10,7,5,0,1,5,5,0,1,10,9,1,0,7,4,4,3,0,1,3,11,2,6,0,0,0,0,1,2,8,5,3,4,4,3,7,3,4,4,1.67,3.75,5
2013-14,3,LIVORNO,CATANIA,15/09/2013,ARMANDO PICCHI - LIVORNO,15:00,ANDREA GERVASONI,2,0,H,0,0,D,2,0,H,0,0,0,0,2,0,0,0,0,0,0,0,Davide Nicola,Rolando Maran,3,2,0,0,0 (0),0 (0),12,11,5,4,0,0,7,7,1,1,17,20,1,1,4,4,3,2,2,0,2,8,5,3,0,0,0,0,0,0,3,2,7,3,8,7,3,3,1,3,2.5,3.2,2.88
2013-14,3,UDINESE,BOLOGNA,15/09/2013,DACIA ARENA - STADIO FRIULI - UDINE,15:00,DANIELE DOVERI,1,1,D,0,0,D,1,1,D,0,0,0,0,0,1,0,0,0,0,1,0,Francesco Guidolin,Stefano Pioli,2,3,0,2,0 (0),0 (0),8,7,4,3,0,1,4,4,0,0,14,17,0,0,2,1,1,0,4,3,4,4,1,4,0,0,0,0,1,0,12,5,10,17,1,0,1,1,3,1,1.8,3.5,4.5
2013-14,3,SAMPDORIA,GENOA,15/09/2013,LUIGI FERRARIS - GENOVA,20:45,NICOLA RIZZOLI,0,3,A,0,1,A,0,2,A,0,0,0,0,0,0,1,0,0,1,1,0,Delio Rossi,Fabio Liverani,0,3,0,0,0 (0),0 (0),13,4,3,3,0,1,10,1,1,0,20,19,0,0,1,2,0,0,3,0,6,3,5,3,0,0,0,0,1,3,10,13,5,7,2,3,1,3,5,1,2.4,3.1,3.1
2013-14,3,PARMA,ROMA,16/09/2013,ENNIO TARDINI - PARMA,20:45,MARCO GUIDA,1,3,A,1,0,H,0,3,A,0,0,1,0,0,0,0,0,0,1,2,0,Roberto Donadoni,Rudi Garcia,5,4,1,0,0 (0),1 (1),9,11,5,8,0,4,4,3,1,1,16,11,0,0,3,4,8,6,2,3,5,2,4,0,0,0,0,0,2,1,20,8,6,2,6,4,3,7,3,0,3.1,3.3,2.3
2013-14,4,CAGLIARI,SAMPDORIA,21/09/2013,SANT'ELIA - CAGLIARI,18:00,MARCO DI BELLO,2,2,D,1,0,H,1,2,A,0,1,0,0,0,1,0,0,0,0,0,2,Diego Lopez,Delio Rossi,1,2,0,0,0 (0),0 (0),9,10,4,3,1,0,5,7,0,0,14,18,0,0,2,1,1,1,2,4,3,3,3,3,0,0,0,0,0,0,13,13,18,15,0,1,3,2,1,1,2.1,3.2,3.6
2013-14,4,CHIEVOVERONA,UDINESE,21/09/2013,MARCANTONIO BENTEGODI - VERONA,18:00,DINO TOMMASI,2,1,H,2,1,H,0,0,D,1,0,1,0,0,0,1,0,0,0,0,0,Giuseppe Sannino,Francesco Guidolin,1,3,0,2,0 (0),0 (0),11,9,5,3,0,0,6,6,0,0,17,18,0,1,5,2,1,1,3,0,9,4,5,3,0,0,0,0,3,1,11,12,6,7,3,7,2,5,4,1,2.75,3.2,2.6
2013-14,4,GENOA,LIVORNO,21/09/2013,LUIGI FERRARIS - GENOVA,20:45,PIERO GIACOMELLI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Fabio Liverani,Davide Nicola,4,5,0,0,0 (0),0 (0),8,6,5,4,0,0,3,2,0,0,13,14,0,0,3,1,0,0,1,2,6,6,4,1,0,0,0,0,0,0,15,3,7,2,8,0,0,3,1,3,1.75,3.5,4.75
2013-14,4,SASSUOLO,INTER,22/09/2013,MAPEI STADIUM - REGGIO EMILIA,12:30,CARMINE RUSSO,0,7,A,0,3,A,0,4,A,0,0,0,0,0,0,1,1,1,1,2,1,Eusebio Di Francesco,Walter Mazzarri,7,5,0,0,0 (0),0 (0),8,22,5,14,0,0,3,8,0,2,7,13,0,0,1,8,4,16,2,3,2,7,3,1,0,0,0,0,1,0,4,11,0,4,2,4,0,10,5,3,4.5,3.75,1.75
2013-14,4,ATALANTA,FIORENTINA,22/09/2013,GEWISS STADIUM - BERGAMO,15:00,ANTONIO DAMATO,0,2,A,0,1,A,0,1,A,0,0,0,0,0,0,0,0,1,0,1,0,Stefano Colantuono,Vincenzo Montella,3,3,1,1,0 (0),0 (0),11,8,4,6,1,0,7,2,0,0,19,15,1,1,3,4,0,2,2,0,9,3,3,1,0,0,0,0,3,3,14,5,2,3,3,5,2,2,4,0,2.8,3.4,2.4
2013-14,4,BOLOGNA,TORINO,22/09/2013,RENATO DALL'ARA - BOLOGNA,15:00,SEBASTIANO PERUZZO,1,2,A,1,2,A,0,0,D,0,1,0,0,0,0,2,0,0,0,0,0,Stefano Pioli,Gian Piero Ventura,4,4,1,0,0 (0),1 (1),11,10,6,7,0,2,5,3,1,1,7,17,1,1,2,4,1,2,2,3,1,6,5,5,0,0,1,0,4,3,11,3,9,10,6,4,2,4,4,4,2.15,3.2,3.5
2013-14,4,CATANIA,PARMA,22/09/2013,ANGELO MASSIMINO - CATANIA,15:00,PAOLO SILVIO MAZZOLENI,0,0,D,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,Rolando Maran,Roberto Donadoni,5,3,1,0,0 (0),0 (0),11,8,3,5,0,0,8,3,0,0,17,24,0,0,3,5,2,1,1,3,8,2,0,3,0,0,0,0,3,2,4,12,17,21,7,10,7,10,5,2,2.05,3.25,3.75
2013-14,4,JUVENTUS,HELLAS VERONA,22/09/2013,ALLIANZ STADIUM - TORINO,15:00,MAURO BERGONZI,2,1,H,2,1,H,0,0,D,0,0,2,0,0,0,0,0,1,0,0,0,Antonio Conte,Andrea Mandorlini,0,12,0,0,0 (0),0 (0),25,2,16,1,1,0,9,1,0,0,13,11,2,0,6,2,3,1,1,1,5,2,4,1,0,0,0,0,0,2,14,5,8,8,13,4,3,0,1,0,1.17,7,15
2013-14,4,ROMA,LAZIO,22/09/2013,OLIMPICO - ROMA,15:00,GIANLUCA ROCCHI,2,0,H,0,0,D,2,0,H,0,0,0,0,2,0,0,0,0,0,0,0,Rudi Garcia,Vladimir Petkovic,0,3,0,3,1 (1),0 (0),13,4,6,1,3,1,7,3,3,0,13,15,1,1,8,3,8,1,1,0,7,3,4,3,0,0,0,1,3,5,4,6,5,12,6,4,10,1,3,4,2.1,3.4,3.4
2013-14,4,MILAN,NAPOLI,22/09/2013,GIUSEPPE MEAZZA - MILANO,20:45,LUCA BANTI,1,2,A,0,1,A,1,1,D,0,0,0,0,0,1,1,0,0,1,0,0,Massimiliano Allegri,Rafael Benitez,1,5,0,2,1 (0),0 (0),14,7,7,3,0,0,7,4,2,0,10,7,1,0,4,3,0,2,1,1,10,3,2,1,1,0,0,0,2,7,11,4,5,3,5,7,2,2,3,1,2.5,3.4,2.7
2013-14,5,UDINESE,GENOA,24/09/2013,DACIA ARENA - STADIO FRIULI - UDINE,20:45,DANIELE ORSATO,1,0,H,0,0,D,1,0,H,0,0,0,0,0,1,0,0,0,0,0,0,Francesco Guidolin,Fabio Liverani,1,2,1,0,0 (0),0 (0),11,5,2,1,0,0,9,4,1,0,10,17,0,0,6,1,0,0,2,1,10,2,1,3,0,0,0,0,0,0,20,5,15,7,3,0,2,2,1,1,1.83,3.4,4.5
2013-14,5,BOLOGNA,MILAN,25/09/2013,RENATO DALL'ARA - BOLOGNA,20:45,PAOLO TAGLIAVENTO,3,3,D,1,1,D,2,2,D,0,0,1,1,1,0,1,0,0,0,0,2,Stefano Pioli,Massimiliano Allegri,5,4,4,2,0 (0),0 (0),11,15,8,9,0,2,3,6,0,1,18,13,1,1,5,14,3,6,0,5,5,9,4,2,0,0,0,0,11,7,6,18,13,24,5,10,2,9,4,15,3.4,3.4,2.1
2013-14,5,CHIEVOVERONA,JUVENTUS,25/09/2013,MARCANTONIO BENTEGODI - VERONA,20:45,ANDREA DE MARCO,1,2,A,1,0,H,0,2,A,0,1,0,0,0,0,0,0,0,1,1,0,Giuseppe Sannino,Antonio Conte,6,1,2,0,0 (0),0 (0),4,15,2,8,0,0,2,7,0,0,13,16,0,1,1,6,0,0,6,0,3,4,3,0,0,0,0,0,0,0,7,25,12,8,0,1,4,3,1,2,7.5,4.2,1.44
2013-14,5,LAZIO,CATANIA,25/09/2013,OLIMPICO - ROMA,20:45,MASSIMILIANO IRRATI,3,1,H,2,1,H,1,0,H,1,0,1,0,0,1,1,0,0,0,0,0,Vladimir Petkovic,Rolando Maran,0,10,0,0,0 (0),0 (0),20,4,13,1,0,0,7,3,0,0,12,12,0,0,16,3,2,2,3,4,8,3,2,2,0,1,0,0,1,0,13,3,4,3,14,4,7,1,4,1,1.57,3.75,6
2013-14,5,LIVORNO,CAGLIARI,25/09/2013,ARMANDO PICCHI - LIVORNO,20:45,LUCA PAIRETTO,1,1,D,1,0,H,0,1,A,0,1,0,0,0,0,0,0,0,1,0,0,Davide Nicola,Diego Lopez,3,2,0,0,0 (0),0 (0),8,11,3,4,0,1,5,7,0,0,7,13,0,1,1,1,2,2,1,0,6,6,2,4,0,0,0,0,1,0,5,8,3,1,7,5,0,1,0,4,2.75,3.1,2.63
2013-14,5,NAPOLI,SASSUOLO,25/09/2013,SAN PAOLO - NAPOLI,20:45,DANIELE DOVERI,1,1,D,1,1,D,0,0,D,1,0,0,0,0,0,0,1,0,0,0,0,Rafael Benitez,Eusebio Di Francesco,5,7,2,4,0 (0),0 (0),15,11,8,6,1,0,7,5,2,3,10,18,0,0,4,4,3,2,4,2,8,6,2,2,0,0,0,0,2,9,15,10,6,4,3,4,4,6,11,5,1.17,7,15
2013-14,5,PARMA,ATALANTA,25/09/2013,ENNIO TARDINI - PARMA,20:45,ANDREA GERVASONI,4,3,H,4,2,H,0,1,A,0,2,2,0,0,0,0,1,1,0,0,1,Roberto Donadoni,Stefano Colantuono,4,2,0,0,0 (0),0 (0),10,12,7,7,0,0,3,5,1,1,17,19,1,0,5,5,5,7,2,3,3,4,3,4,0,0,1,0,0,2,8,8,2,2,5,6,1,5,4,2,1.91,3.3,4.2
2013-14,5,SAMPDORIA,ROMA,25/09/2013,LUIGI FERRARIS - GENOVA,20:45,GIANPAOLO CALVARESE,0,2,A,0,0,D,0,2,A,0,0,0,0,0,0,0,0,0,0,1,1,Delio Rossi,Rudi Garcia,2,3,0,1,0 (0),0 (0),7,8,3,4,1,0,4,4,0,0,13,15,0,0,2,3,0,3,0,3,5,1,2,3,1,0,0,0,3,2,10,10,6,8,2,5,3,4,2,4,3.6,3.3,2.05
2013-14,5,TORINO,HELLAS VERONA,25/09/2013,OLIMPICO - TORINO,20:45,NICOLA RIZZOLI,2,2,D,1,1,D,1,1,D,0,0,1,1,0,0,0,0,1,1,0,0,Gian Piero Ventura,Andrea Mandorlini,5,3,0,0,1 (1),1 (1),10,8,7,7,1,1,3,1,0,0,11,17,2,0,3,1,0,1,2,0,9,3,1,0,0,0,0,0,6,2,5,17,19,9,6,6,3,0,1,0,1.91,3.4,4
2013-14,5,INTER,FIORENTINA,26/09/2013,GIUSEPPE MEAZZA - MILANO,20:45,PAOLO VALERI,2,1,H,0,0,D,2,1,H,0,0,0,0,1,1,0,0,0,0,0,1,Walter Mazzarri,Vincenzo Montella,5,6,0,0,0 (0),1 (1),13,12,8,6,0,1,5,6,0,0,13,6,0,0,4,3,0,0,1,0,6,5,4,1,0,0,0,0,4,0,7,10,3,2,3,5,15,11,12,5,1.91,3.4,4
2013-14,6,GENOA,NAPOLI,28/09/2013,LUIGI FERRARIS - GENOVA,18:00,ANTONIO DAMATO,0,2,A,0,2,A,0,0,D,0,0,0,0,0,0,1,1,0,0,0,0,Fabio Liverani,Rafael Benitez,2,3,0,0,0 (0),0 (0),8,11,3,4,0,1,5,7,0,0,14,8,0,0,2,3,0,3,3,2,5,7,2,2,0,0,0,0,0,0,13,1,8,6,7,9,2,2,3,3,4.75,3.5,1.75
2013-14,6,MILAN,SAMPDORIA,28/09/2013,GIUSEPPE MEAZZA - MILANO,20:45,SEBASTIANO PERUZZO,1,0,H,0,0,D,1,0,H,0,0,0,1,0,0,0,0,0,0,0,0,Massimiliano Allegri,Delio Rossi,1,5,0,0,0 (0),0 (0),11,12,6,1,0,0,5,11,1,1,10,10,0,0,3,0,0,0,5,2,8,2,0,3,0,0,0,0,2,1,5,10,3,3,6,8,12,13,8,5,1.5,4,7
2013-14,6,TORINO,JUVENTUS,29/09/2013,OLIMPICO - TORINO,12:30,PAOLO SILVIO MAZZOLENI,0,1,A,0,0,D,0,1,A,0,0,0,0,0,0,0,0,0,1,0,0,Gian Piero Ventura,Antonio Conte,5,0,2,0,0 (0),0 (0),3,14,0,7,0,0,3,7,1,1,14,17,0,1,1,6,0,0,3,4,3,8,3,3,0,0,0,0,2,2,3,7,16,11,1,9,3,1,0,1,6.5,4.1,1.5
2013-14,6,ATALANTA,UDINESE,29/09/2013,GEWISS STADIUM - BERGAMO,15:00,PIERO GIACOMELLI,2,0,H,1,0,H,1,0,H,0,0,1,0,1,0,0,0,0,0,0,0,Stefano Colantuono,Francesco Guidolin,3,4,0,1,0 (0),0 (0),8,10,6,3,0,0,2,7,0,0,18,17,0,0,3,1,1,0,2,2,8,4,2,4,0,0,0,0,4,5,14,7,6,5,5,6,3,2,2,2,2.5,3.2,2.88
